Cifuentes_tweets$text
"""Cuando visioné el vídeo de Cristina Cifuentes en las mazmorras espectrales de un supermercado perdido en el tiempo me acordé de que en lo que fue Galerías Preciados de Palma"", por @juan_planas https://t.co/1JpHTAaRH0"
Pide otro escaño para Cifuentes que está en paro! https://t.co/tLYIOYzWos
"@protestona1 @salvadorsanvil1 Del policía que decidió dejar libre y sin cargos a Cifuentes cuando la cogieron robando en Eroski, ¿ha dicho algo?"
La juez imputa al director del máster de Cifuentes  @lavanguardia https://t.co/QBxS4rFOBZ
El ‘caso Cifuentes’ hunde al PP y dispara a Ciudadanos en Madrid https://t.co/g1uLG8nXNU vía @elpais_espana
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/8wvhJuYArr https://t.co/WbsiUi6wyE
Hace un año escribía este artículo en @elconfidencial para valorar la dimisión de Esperanza Aguirre que también se producía finalizando el mes de abril del 2017. Sigue siendo plenamente válido para valorar la dimisión de Cifuentes. https://t.co/MyrR0fiasb
Olay se convierte en una marca viral tras los memes del hurto de Cifuentes https://t.co/ptjtnV8sWO https://t.co/APue2NKbkF
VÍDEO | La Cifuentes de Polònia desvalija a Rajoy en su despacho https://t.co/iuyxXvSKdC
"Una juez imputa por falsedad al director del máster de Cristina Cifuentes https://t.co/bOS7LNnCNp Cifuentes no sabia que no había ""robado"" él Master y por eso va asegur siendo diputada autonómica con el consentimiento  de C'S"
Ahí va Cifuentes!!!!! https://t.co/InN0XVx0rh
El vídeo que demuestra que Cristina Cifuentes robó 2 cremas Olay en Eroski https://t.co/JORM4aSpiF
Cuatro presidentes madrileños y más de 20 años salpicados por la corrupción https://t.co/mI0Fg3Flsi
Reacciones del Santa Fe 1 - Tolima 1. Juan Navidad y Rafael Cifuentes https://t.co/DrVmy7QXTn
"► Imputado Enrique Álvarez Conde, director del máster de @ccifuentes #ComunidadDeMadrid https://t.co/AMKJLnObYd https://t.co/Ma0fmEE7BU"
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/bhFFLDmRqC
"@kikonovoa @aleperseco a propósito del escandelete de la Sra. Cifuentes, descrito sabiamente por el Sr. De Prada. Moi boa reflexión académica. https://t.co/INMbeMakXv"
"@LydiaLozanoOf Tú eres más de CIFUENTES ,esa sí que es perfecta,menuda zorraca"
"Garrido no descarta que Cifuentes deje el escaño: ""Tomará una decisión en los próximos días sobre si continuar como diputada"" https://t.co/WO2WRFAt9O vía @eldiario_Madrid "
@Rafa_Hernando @andresiniesta8 Y de cifuentes no dices nada??? Jajajaja
Cifuentes se robó la gracia de este Tweet q
El ‘caso Cifuentes’ hunde al PP y dispara a Ciudadanos en Madrid https://t.co/LWL11z1iAd Gabilondo el único líder que aprueba!!!! El Presidente que Madrid necesita!!!!
Tiene que ser mayor de edad ? Porque no lo encontraréis https://t.co/QBhwb5aZpw
"Granados, sobre la dimisión de Cifuentes: ""Si buscas venganza, cava dos fosas"" https://t.co/ifazVklWc2 vía @eldiarioes"
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/39G9JqJOF4
"“No pararemos hasta matarla, hasta acabar con ella”, la amenaza de un empresario a Cifuentes https://t.co/Hhpr7OYUBF"
"Esta escena me recuerda q antiguamente mandaban los + valientes y sacrificados y no esta castuza d eunucos como Marota, Cifuentes o Errejona. Decadencia total y millones d subnormales siguiéndoles Letizio VI es 1 reyezuelo muy representativo d esta mierda https://t.co/Gm4damM9gE"
@Xavinoriguis Iniesta es un mite. Cifuentes una cita.
"Los comisarios amigos de Granados, detrás de los espionajes y de la vendetta a Cifuentes https://t.co/32LdD4C40j vía @publico_es"
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/LRMfTYd8a2
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/kicntn4xXF
Una jueza imputa al responsable del instituto del máster de Cristina Cifuentes https://t.co/L9GYKCaN3B vía @eldiarioes
"@jmvs54 @DANIROVIRA Vaya, se ha ofendido el primo de Cifuentes..."
"@CARLOSCARBO1900 @EnrikeIlundain @tispter_ganador @FonsiLoaiza @guardiacivil Como se nota que eres una marioneta de mariano y el PP, no ves que el mismo que defendia a cifuentes fue el que se la cargo = Inda. Si no pillas una mentira facil debes tener cuernos de unicornio jajaja"
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/p8n3bTk8Im
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/9bvPlCZsDZ
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/SD0VlwZebn #noticia
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/Hi5ZotxzrA #noticia
CRISTINA CIFUENTES RATERAAAAAAAAAAAAAAAA LADRONAAAAAAAAAAAAAAADELINCUENTEEEEEEEEEEEEEE https://t.co/6zRpcxu5ru
El ‘caso Cifuentes’ hunde al PP y dispara a Ciudadanos en Madrid https://t.co/kIRCD8hvym vía @elpais_espana
"Madre mía, si en El Mundo escriben esto... El PP es un muerto viviente Yo también creí en su momento que Cifuentes era de lo más salvable que tenían... 😒 #FelizFinde #PP es corrupción. https://t.co/suyJEzm0gV"
"3 días desconectada del mundo tuitero, solo me he enterado de pasado sobre Cifuentes Creams, ¿Alguien me pone al día?"
@A3Noticias @rocio_burgos Ya que estamos la corrupta cifuentes tendriamos que decir que va al palco del Bernabéu donde estan la canela y ladrones de guante blanco por que no los expulsa el real madrid
En @elconfidencial: Ignacio González contrató a los detectives que vigilaban el Eroski: 'Hay vídeos por salir' https://t.co/IHVhzQQ6R5
Cifuentes y las conspiraciones políticas a lo ‘House of Cards’ https://t.co/UDb95CVOSh
@espLiberal @MarAlvLaf @Sinfucio99 @Elaguijon_ Has de reconocer que no una sino varias personas han traído a coalición la asimilación al máster de cifuentes. Eso de tirar la piedra y esconder la mano es muy español. Los duelos al amanecer pero modo dialéctico es lo que debería ponerse de moda 😂 Cara a cara por supuesto
"@libertaddigital Si luchara contra la corrupcion tenia q luchar contra #soraya #montoro y #rajoy peor fue su gestion en educacion y en justicia y como presidenta , designada a dedo d la gestora, para luego ser ella presidente. Y toda la basura d la lgtb #cifuentes"
Me ha gustado un vídeo de @YouTube (https://t.co/ovdFozPX5n - LA CIFUENTES - LOS MORANCOS | El Punto de la Antonia).
"@ivanbelmar Con lo de Cifuentes se me ha ocurrido que sólo suben a esos puestos los que ya tienen más de un video en el cajón, para poder echarlos cuando a otros les dé la gana. Así, ¿quién se atreve a gobernar bien, si siempre están chantajeados?"
El regalo envenenado de Margallo a Santamaría: la propone como candidata a sustituir a Cifuentes https://t.co/d55FO5YgWD vía @elespanolcom
Si tienes amigos en el @ppmadrid no busques enemigos https://t.co/vBtwdhaBAB
"Ana Rosa Quintana, tras la dimisión de Cifuentes de la presidencia de la Comunidad de Madrid: 'Padecía cleptomanía' https://t.co/6tIlF6UJQL https://t.co/x1kRMAqGJw"
¿Alguien sabe si los jueces de #LaManada han estudiado en la misma Universidad que la Cifuentes?
Un juzgado de Madrid investiga la posible falsedad en el máster de Cifuentes https://t.co/RSrjiTn9jr vía @elespanolcom
I liked a @YouTube video https://t.co/yi3BscsfqS #EnLaFrontera62 - Cifuentes tenía un precio; las cloacas siguen rebosando
"Granados, sobre la dimisión de Cifuentes: ""Si buscas venganza, cava dos fosas"" https://t.co/n1GDYnwQDp"
► Un juzgado de Madrid investiga la posible falsedad en el máster de @ccifuentes #ComunidadDeMadrid https://t.co/AWdXdAo1En https://t.co/jOxdjVv4cz
Francisco Granados insiste en la existencia de una campaña paralela para Aguirre dirigida por González y Cifuentes https://t.co/9nsSLyes7i
"Cifuentes dejará la presidencia del PP de Madrid, según Cospedal https://t.co/Zr0v0KNpan"
Imputado el director del máster de Cifuentes https://t.co/Alm36y2RZG https://t.co/gNe4KWeFM6
Creo que @eljueves estudió con Cifuentes. https://t.co/tqT96SQVzX
"@jatd134g La mayoría de centro-derecha sí. El problema del PP de Madrid no es Cifuentes, este es su último caso. Desde el Tamayazo no ha librado uno de sus líderes. Se necesita oposición para limpiar. En todos los partidos y ámbitos."
Imputado el director del máster de Cifuentes https://t.co/2666W20jGV https://t.co/ROYxPF9Pqq
"Que casualidad, la dimisión de Cifuentes ha coincidido con la sentencia de La Manada Todo improvisado #dimisiondecifuentes"
En @elconfidencial: Granados sobre Cifuentes: 'Si quieres venganza cava dos fosas' https://t.co/GpU6ySNZwO
"Guerra en el PP de Madrid: Los comisarios amigos de Granados, detrás de los espionajes y de la vendetta a Cifuentes - Público https://t.co/FE4khKh7Pi"
Cuatro presidentes madrileños y más de 20 años salpicados por la corrupción  @lavanguardia https://t.co/630gZ6qE8U
laSexta rescata el momento en el que Cristina Pardo pregunta en 2016 a Cifuentes por su supuesta cleptomanía https://t.co/ORMDx3CGbG vía @vertele
Un juzgado cita a declarar como investigado al director del polémico máster de Cifuentes https://t.co/dTGCYoMF5S https://t.co/zaDyGSfHv3
Una juez imputa por falsedad al director del máster de Cristina Cifuentes https://t.co/QsoBq7qaot vía @elpais_espana
Una jueza imputa al responsable del instituto del máster de Cristina Cifuentes https://t.co/5RvWm1asmj
La polémica aumenta. https://t.co/283vWwAovO #Cifuentes Toda la información en Fleetic. #CifuentesPillada
"Pues entre lo que ha ganado y lo que no ha pagado, algo ahorradito tendrá Cifuentes y su incierto futuro laboral | https://t.co/Nt0kwq8ki5 https://t.co/OxxkLWsnks"
Una jueza imputa al responsable del instituto del máster de Cristina Cifuentes https://t.co/5RvWm1asmj vía @eldiarioes
"@JesusCintora Como siempre, las leyes obsoletas amparan a los delincuentes. Hace falta que los políticos trabajen y actualicen las leyes. 1 año en prisión y siguen cobrando. Cifuentes roba y falsea curriculo... sigue cobrando de lo público."
En @elconfidencial: Ignacio González contrató a los detectives que vigilaban el Eroski: 'Hay vídeos por salir' https://t.co/Q5BefYSaTU
Vaaamosss Vaaamosss... Que ahora toca hablar del video de Cifuentes... Si al menos os dieseis cuenta del pequeño detalle de que el 15m... Oficialmente se dio a conocer un 15 de mayo de 2011.. Si al menos... No pensaría que sois tan borregos ...
Una jueza imputa al responsable del instituto del máster de Cristina Cifuentes https://t.co/56IxBVoGyZ vía @eldiarioes
"Andrés Iniesta confirma que esta será su última temporada con el #FCBarcelona: ""Es una decisión muy meditada, muy valorada, muy pensada a nivel interno conmigo mismo y a nivel familiar. Es el momento de irme"""
@cifuentes_pablo Jajajajja mucho cuidado como lo va a celebrar
"""A todo cerdo le llega su San Martino"",Gallardón a escena !! Y lo de Cifuentes,si fuera cleptóman tendría excusa,si ella lo niega,pues... https://t.co/59WG4JmeMk @Dama_Cristal @rdrguzsanchez @azucena10489812 @SanchaRamirez @maldriz1 @niblick62 @Hristi_1X2 @Luz3400 @TERRORISMOOFF"
Menuda Mafia!! https://t.co/0m9pnC9NAi vía @elmundoes
Rotundo desmentido de Cifuentes: “No soy cleptómana ni he recibido tratamiento” https://t.co/ZwA8kQWaWD
"No lo dudes. Bueno, a político se mete mucha gente buena pero a los niveles más altos llegan los que son menos brillantes y por lo tanto no van a discrepar. O, y lo hemos visto con el caso  Cifuentes, aquellos de los que tengan trapos sucios con los que tenerlos bajo control. https://t.co/u34aqS1Wip"
"Imputado por ""falsedad documental"" el director del máster de Cifuentes https://t.co/sel0bGeHdR https://t.co/tx49ZwIG7f"
Cifuentes evita la primera reunión del grupo parlamentario tras su dimisión https://t.co/rujH0LWGYb vía @el_pais
"@damara32511297 No lo dudes. Bueno, a político se mete mucha gente buena pero a los niveles más altos llegan los que son menos brillantes y por lo tanto no van a discrepar. O, y lo hemos visto con el caso  Cifuentes, aquellos de los que tengan trapos sucios con los que tenerlos bajo control."
"Raul Ramírez Ruiz cómplice de #corrupcion por silencio cómplice y compañero de área de la falsa visitante Margarita Cifuentes, hermana de @ccifuentes en@urjc en google Scholar #somosurjc #cifuentes @CrueUniversidad @eldiarioes @iescolar @raquelejerique  @JavierRamosURJC https://t.co/aigiYML5AX"
Un juzgado de Madrid imputa al exdirector del máster de Cifuentes por presunta falsificación documental https://t.co/cExzZd3lf4 vía @rtve
"También en el periodismo hay límites. La difusión del vídeo de Cristina Cifuentes robando en un supermercado hace siete años retrata a los que lo colgaron. Según ellos, por el interés general. ¿De verdad es de interés general el robo de las cremas de hace tanto tiempo? (1/3) https://t.co/y0MM48ZJEu"
Génova decidirá el sucesor de Cifuentes mientras el PSOE hace oficial la candidatura de Ángel Gabilondo https://t.co/mJuCBwW3WX vía @diarioferrol
"""No puedes derrotar a una persona que nunca se rinde"", #FelizViernes!!!"
@iescolar Si los que os ponen las demandas son del perfil de Cárdenas y Cifuentes es que estáis haciendo bien vuestro trabajo
"@SotaPatriota @Dangeroos3 Con el rollo Cifuentes tapan cosas y planean otras, mientras la gente se vuelca con el tema y no mira a otro lado. #VikingosTeam"
Una juez imputa por falsedad al director del máster de Cristina Cifuentes https://t.co/tOrMgmkIlm https://t.co/4RYC1VpuQD
Si investigan las cuentas corrientes de este señor seguro que descubren una pequeña fortuna impensable para un catedrático de universidad https://t.co/3B8v0fCXiY
Cifuentes y su incierto futuro laboral https://t.co/ix3wUta17l vía @El_Plural
Los famosos llenan las redes de bromas y memes por la dimisión de Cifuentes https://t.co/QRXkB24vHV https://t.co/SahzfXJp5H
