learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.17955837,4.950307439362838E-8,100000.0,97.477,22.966211814155912,46.43312101910837,-4.688796680497775,100000.0,162224.0,81.0,41.0,41.0,10.0,0.0,0.0,1.0
200000.0,1.892590675,1.0628932208560615E-7,200000.0,97.506,17.182510487005427,46.25000000000008,-4.789915966386205,200000.0,307848.0,155.0,78.0,78.0,11.0,0.0,0.0,1.0
300000.0,2.410942345,1.6963933816470414E-7,300000.0,97.52333333333333,14.17844787317544,46.60822075308989,-4.30998174926313,300000.0,472416.0,241.0,121.0,121.0,13.0,0.0,0.0,1.0
400000.0,2.852732535,2.3866039480419E-7,400000.0,97.53775,12.507026177051964,46.74489023467075,-3.8048060708264315,400000.0,603904.0,305.0,153.0,153.0,14.0,0.0,0.0,1.0
500000.0,3.319495325,3.288436856086987E-7,500000.0,97.5324,11.189988030120784,46.910499139414696,-3.645833333333241,500000.0,746848.0,377.0,189.0,189.0,14.0,0.0,0.0,1.0
600000.0,3.784851988,4.3929832410312153E-7,600000.0,97.53450000000001,10.189090122634395,46.89855696747793,-3.6287215411558424,600000.0,917488.0,469.0,235.0,235.0,15.0,0.0,0.0,1.0
700000.0,4.230801888,5.614485716370307E-7,700000.0,97.54257142857143,9.410945905784693,46.9499784123852,-3.6265060240962708,700000.0,1058792.0,535.0,268.0,268.0,16.0,0.0,0.0,1.0
800000.0,4.692612326,7.086565335125579E-7,800000.0,97.543,8.803869294821155,46.93304535637154,-3.5943923263414597,800000.0,1232168.0,621.0,311.0,311.0,16.0,0.0,0.0,1.0
900000.0,5.137093588,8.638235881285473E-7,900000.0,97.54833333333333,8.399328053800629,46.954034041734886,-3.6158722704857844,900000.0,1349424.0,691.0,346.0,346.0,16.0,0.0,0.0,1.0
1000000.0,5.702840654,1.085363366578832E-6,1000000.0,97.5555,7.966872427510182,46.98546952938612,-3.501566601744522,1000000.0,1513672.0,769.0,385.0,385.0,16.0,3803.574025974026,0.0,1.0336634853343676
1100000.0,6.216949231,1.3062906247274683E-6,1100000.0,97.55636363636364,7.585616631148683,47.01151237975091,-3.4283735426525688,1100000.0,1661104.0,841.0,421.0,421.0,17.0,3803.574025974026,0.0,1.0336634853343676
1200000.0,6.706033127,1.5363995492052805E-6,1200000.0,97.55733333333333,7.427619157156791,47.06732158335733,-3.3750661259037433,1200000.0,1818664.0,921.0,461.0,461.0,17.0,3803.574025974026,0.0,1.0336634853343676
1300000.0,7.204475717,1.792392225365765E-6,1300000.0,97.55676923076923,7.242081306537158,47.065097830072425,-3.3515553820120467,1300000.0,1985248.0,1009.0,505.0,505.0,17.0,3803.574025974026,0.0,1.0336634853343676
1400000.0,7.68436753,2.05589561955649E-6,1400000.0,97.56021428571428,6.9320760811428395,47.05490281179284,-3.4151805988677184,1400000.0,2122488.0,1073.0,537.0,537.0,17.0,3803.574025974026,0.0,1.0336634853343676
1500000.0,8.174316422,2.3449214031599215E-6,1500000.0,97.55566666666667,6.698463289769202,47.08471640929416,-3.348648420103225,1500000.0,2280280.0,1157.0,579.0,579.0,18.0,3803.574025974026,0.0,1.0336634853343676
1600000.0,8.67024146,2.654390220555564E-6,1600000.0,97.559375,6.4449068038374495,47.08672086720872,-3.336949906056962,1600000.0,2412144.0,1221.0,611.0,611.0,18.0,3803.574025974026,0.0,1.0336634853343676
1700000.0,9.15380098,2.972371274377472E-6,1700000.0,97.55905882352941,6.174656426421985,47.09572135244019,-3.2958279398588983,1700000.0,2541872.0,1283.0,642.0,642.0,18.0,3803.574025974026,0.0,1.0336634853343676
1800000.0,9.65923551,3.324488506839408E-6,1800000.0,97.55822222222223,5.992481238163281,47.10696062385679,-3.277956622882124,1800000.0,2692928.0,1361.0,681.0,681.0,18.0,3803.574025974026,0.0,1.0336634853343676
1900000.0,10.147590049,3.6772667374390056E-6,1900000.0,97.55563157894737,5.75543851565823,47.113282317573024,-3.2571479389924054,1900000.0,2792344.0,1415.0,708.0,708.0,18.0,3803.574025974026,0.0,1.0336634853343676
2000000.0,10.726341277,4.1161286535535444E-6,2000000.0,97.5558,5.5489481338935285,47.137573804528884,-3.1961156850327597,2000000.0,2931152.0,1485.0,743.0,743.0,19.0,3817.00134589502,0.0,1.033539819014736
