learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.93651745,1.5100686610055466E-8,10000.0,79.32000000000001,69.00921021395888,69.20327624720774,68.67615873977583,10000.0,62328.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.431553764,2.3384011560926833E-8,20000.0,79.52,69.28620345744893,69.65251537378677,69.04707927151817,20000.0,64680.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.887883744,3.434970860973828E-8,30000.0,79.72333333333333,69.57666892572418,69.81291251054539,69.33817228690963,30000.0,92888.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,2.41046454,5.312734020578364E-8,40000.0,80.2675,70.39463295992294,70.5671775366372,70.258864312898,40000.0,138896.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,2.876485592,7.40025417652809E-8,50000.0,80.73599999999999,71.09949334747422,71.25977203556721,70.93980992608235,50000.0,173152.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
60000.0,3.340710931,9.895164619347287E-8,60000.0,80.98166666666667,71.46841258856375,71.60029865604778,71.32482283761371,60000.0,207744.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,3.77974299,1.244539752647384E-7,70000.0,81.26285714285714,71.8926959221457,71.9959005892903,71.78323257965279,70000.0,224536.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
80000.0,4.222034852,1.5365884771627476E-7,80000.0,81.42,72.1283103441389,72.18510825427124,72.01385750866095,80000.0,255240.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
90000.0,4.642579169,1.8307182480058114E-7,90000.0,81.57222222222222,72.35584961904593,72.37950904306697,72.232453790517,90000.0,270352.0,33.0,17.0,17.0,6.0,0.0,0.0,1.0
100000.0,5.132634292,2.2658494348749932E-7,100000.0,81.664,72.49341044851518,72.5348631686164,72.35598305416939,100000.0,343224.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
110000.0,5.619582598,2.741355462455915E-7,110000.0,81.83272727272727,72.74668698894847,72.77680906713164,72.61828096954085,110000.0,377464.0,47.0,24.0,24.0,7.0,0.0,0.0,1.0
120000.0,6.097268866,3.250565116147118E-7,120000.0,81.91000000000001,72.86153848075246,72.87889956397346,72.73652085452697,120000.0,412056.0,51.0,26.0,26.0,7.0,0.0,0.0,1.0
130000.0,6.579514575,3.799617046312823E-7,130000.0,82.05384615384615,73.0766626929881,73.05911290229454,72.94162674986372,130000.0,440096.0,55.0,28.0,28.0,7.0,0.0,0.0,1.0
