learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,3.200517932,7.159676470480859E-8,100000.0,88.349,76.26869870926619,76.2694258304988,72.9574784142605,6983.0,56328.0,64.0,342.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
200000.0,4.942067323,1.0052504170924839E-7,200000.0,87.854,75.25177154870747,75.24735324386839,71.8513540133721,5614.0,17272.0,35.0,272.0,21.0,11.0,11.0,2.0,0.0,0.0,1.0
300000.0,6.616603031,1.2098957907593498E-7,300000.0,87.92433333333334,75.41243007802765,75.38291134939728,72.08282600989475,5888.0,18112.0,35.0,197.0,15.0,8.0,8.0,2.0,0.0,0.0,1.0
400000.0,8.636229938,1.7905579690912116E-7,400000.0,87.40299999999999,74.3632018693761,74.29786886751067,70.86135607922509,58770.0,50024.0,10.0,65.0,81.0,23.0,23.0,4.0,0.0,0.0,1.0
500000.0,10.649749165,2.0089187728948476E-7,500000.0,87.408,74.36709548914318,74.31011478025273,70.85832777901206,158770.0,12648.0,0.0,4.0,163.0,-3.0,-3.0,1.0,0.0,0.0,1.0
600000.0,12.060587141,2.234274983720357E-7,600000.0,87.26883333333333,74.08681761054689,74.05738233835744,70.5216320828622,258770.0,31224.0,0.0,1.0,233.0,-43.0,-43.0,3.0,0.0,0.0,1.0
700000.0,13.434536975,2.404972355992595E-7,700000.0,87.14342857142857,73.82516470941194,73.78556219360513,70.2268155833157,358770.0,17776.0,0.0,0.0,292.0,-86.0,-86.0,2.0,0.0,0.0,1.0
800000.0,15.092679897,2.589117489509698E-7,800000.0,86.8985,73.32812746198651,73.26892766604267,69.6583188348739,458770.0,12480.0,0.0,3.0,314.0,-166.0,-166.0,1.0,0.0,0.0,1.0
900000.0,16.560625552,2.8355048632081594E-7,900000.0,86.85288888888888,73.23467503271827,73.15997087438103,69.55042589876219,558770.0,34048.0,0.0,0.0,411.0,-190.0,-190.0,3.0,0.0,0.0,1.0
1000000.0,18.144051513,3.0342917734056706E-7,1000000.0,86.8322,73.19254805119292,73.1100365127468,69.50952378747111,658770.0,19120.0,0.0,5.0,509.0,-189.0,-189.0,2.0,0.0,0.0,1.0
1100000.0,20.22705051,3.6404164952419695E-7,1100000.0,86.6059090909091,72.72831799128092,72.6505071355381,68.98190935942753,758770.0,36408.0,0.0,4.0,623.0,-190.0,-190.0,4.0,0.0,0.0,1.0
1200000.0,21.842852429,3.8156459150007196E-7,1200000.0,86.70716666666667,72.93234944799212,72.86849262410938,69.21832998527627,858770.0,12648.0,0.0,1.0,709.0,-193.0,-193.0,1.0,0.0,0.0,1.0
1300000.0,23.958565454,4.0941307122921774E-7,1300000.0,86.52823076923077,72.5621316459241,72.50814710628599,68.80423940149628,958770.0,12984.0,0.0,2.0,779.0,-223.0,-223.0,1.0,0.0,0.0,1.0
1400000.0,25.859152675,4.4200577205088814E-7,1400000.0,86.57935714285713,72.66400449153072,72.62075115920528,68.9156056434962,1058770.0,28816.0,0.0,6.0,866.0,-243.0,-243.0,2.0,0.0,0.0,1.0
1500000.0,27.885057568,5.02864617599996E-7,1500000.0,86.52066666666667,72.54742100038428,72.50667990182414,68.78425487635052,1158770.0,38872.0,0.0,26.0,973.0,-243.0,-243.0,4.0,0.0,0.0,1.0
1600000.0,30.123325771,5.269434828648364E-7,1600000.0,86.41799999999999,72.33792424179371,72.29926360645456,68.54748951037817,1258770.0,11136.0,0.0,20.0,1035.0,-280.0,-280.0,1.0,0.0,0.0,1.0
1700000.0,32.641992901,5.681598898296575E-7,1700000.0,86.49029411764705,72.48630907622969,72.44359494910228,68.70806043521091,1358770.0,33408.0,0.0,2.0,1124.0,-290.0,-290.0,3.0,0.0,0.0,1.0
1800000.0,34.948900274,5.894345658671711E-7,1800000.0,86.35372222222222,72.20203813080663,72.16534915555394,68.3904185390511,1458770.0,5504.0,0.0,3.0,1199.0,-311.0,-311.0,0.0,0.0,0.0,1.0
1900000.0,37.352333605,6.349978657216848E-7,1900000.0,86.4192105263158,72.33413597528461,72.30688821013001,68.54367204033667,1558770.0,23408.0,0.0,0.0,1268.0,-352.0,-352.0,2.0,0.0,0.0,1.0
2000000.0,39.9149813,7.144309362753896E-7,2000000.0,86.3948,72.28959487335055,72.26623614224023,68.50075766082495,1658770.0,46688.0,0.0,0.0,1368.0,-378.0,-378.0,4.0,0.0,0.0,1.0
