"seed" "acc" "kappa"
"1" 1 83.8903 75.8362356949331
"2" 2 83.7851 75.677498015009
"3" 3 83.8876 75.829541470117
"4" 4 84.0451 76.0694603587848
"5" 5 83.8402 75.759994725058
"6" 6 83.9062 75.8590550656951
"7" 7 83.8867 75.829276988131
"8" 8 83.8687 75.8028419029038
"9" 9 83.7875 75.6817212032629
"10" 10 83.8479 75.7714936861128
"11" 11 83.7456 75.6178349462264
"12" 12 83.8392 75.7591272121973
"13" 13 83.9761 75.9642551609865
"14" 14 83.8801 75.8192058978667
"15" 15 83.9843 75.9762001442894
"16" 16 83.8343 75.7518333609806
"17" 17 83.8963 75.8445017395676
"18" 18 83.8406 75.7617072631748
"19" 19 83.788 75.6828450081384
"20" 20 83.8152 75.723321424905
