"seed" "acc" "kappa"
"1" 1 97.1995 94.3919003842531
"2" 2 90.50155 65.5687699828225
"3" 3 97.0895 93.8475436098632
"4" 4 96.5851 93.0011410650914
"5" 5 92.56285 84.8316978538835
"6" 6 96.5367 87.6157655741154
"7" 7 90.5222 80.9447173125267
"8" 8 91.61065 76.1416904118886
"9" 9 98.25575 20.8748697799271
"10" 10 89.46675 78.4907057869455
"11" 11 97.0355 94.028681807809
"12" 12 87.71595 74.94717395793
"13" 13 95.6094 90.1261819435396
"14" 14 92.465 80.3353841545105
"15" 15 97.00055 11.2706310080938
"16" 16 98.04425 95.7166728243708
"17" 17 94.15305 86.3684974724344
"18" 18 97.56775 7.17764184964568
"19" 19 88.046 43.9103702658066
"20" 20 96.9976 92.7041091480505
