learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.990823262,5.2409247721553684E-8,100000.0,93.888,75.97877847070478,76.3860448943322,59.90027555438922,4782.0,36912.0,56.0,264.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
200000.0,4.525935002,7.995449698872451E-8,200000.0,93.072,73.06955719759554,73.29478654717163,54.8414431444122,99169.0,31896.0,2.0,22.0,65.0,-23.0,-23.0,4.0,0.0,0.0,1.0
300000.0,5.902363826,1.0554975173703914E-7,300000.0,92.81966666666666,72.19600663715823,72.47297262759731,53.49826220236169,199169.0,34280.0,0.0,0.0,144.0,-41.0,-41.0,4.0,0.0,0.0,1.0
400000.0,7.247759261,1.3081295852559517E-7,400000.0,92.7655,71.92833277009308,72.27284486475611,53.08822099017606,299169.0,35064.0,0.0,0.0,211.0,-80.0,-80.0,4.0,0.0,0.0,1.0
500000.0,8.545587632,1.533027780985915E-7,500000.0,92.6646,71.58919379817623,71.92664202009995,52.53581457947792,399169.0,29600.0,0.0,0.0,284.0,-103.0,-103.0,2.0,0.0,0.0,1.0
600000.0,9.873581092,1.6980156054370933E-7,600000.0,92.5465,71.13030549305458,71.47076648272783,51.78536774694352,499169.0,10968.0,0.0,0.0,342.0,-137.0,-137.0,1.0,0.0,0.0,1.0
700000.0,11.259185118,1.868354254210823E-7,700000.0,92.50385714285714,70.9216329869992,71.25460163029184,51.39543715669836,599169.0,10464.0,0.0,0.0,431.0,-154.0,-154.0,1.0,0.0,0.0,1.0
800000.0,12.62311934,2.0401784596564455E-7,800000.0,92.466375,70.69915158339397,71.04386972167637,51.041412812139534,699169.0,11640.0,0.0,0.0,529.0,-163.0,-163.0,1.0,0.0,0.0,1.0
900000.0,14.002893273,2.3599186509199233E-7,900000.0,92.45,70.68261773025661,71.01542005246657,50.97862393859162,799169.0,51704.0,0.0,0.0,598.0,-202.0,-202.0,5.0,0.0,0.0,1.0
1000000.0,15.339451959,2.5879323544925493E-7,1000000.0,92.4337,70.51966267648949,70.92154971310859,50.819000819000806,899169.0,28480.0,0.0,0.0,669.0,-219.0,-219.0,3.0,0.0,0.0,1.0
1100000.0,16.671593473,2.777366353493991E-7,1100000.0,92.44081818181819,70.57405486058659,70.93587794264144,50.83110109808236,999169.0,17776.0,0.0,0.0,785.0,-211.0,-211.0,2.0,0.0,0.0,1.0
1200000.0,17.977449206,2.961359803761935E-7,1200000.0,92.4265,70.53697359460391,70.88748298230159,50.767613950313674,1099169.0,17272.0,0.0,0.0,847.0,-245.0,-245.0,2.0,0.0,0.0,1.0
1300000.0,19.410044835,3.119211511548174E-7,1300000.0,92.4316923076923,70.55529150512797,70.91771132308037,50.82173704414586,1199169.0,5672.0,0.0,0.0,896.0,-297.0,-297.0,0.0,0.0,0.0,1.0
1400000.0,20.745331169,3.288587421683905E-7,1400000.0,92.40542857142857,70.43791501923725,70.81568625298159,50.65576357240317,1299169.0,11976.0,0.0,0.0,1004.0,-291.0,-291.0,1.0,0.0,0.0,1.0
1500000.0,22.030446479,3.561444197878552E-7,1500000.0,92.39793333333334,70.41355330186573,70.81239777517835,50.63593073593077,1399169.0,44336.0,0.0,0.0,1095.0,-301.0,-301.0,4.0,0.0,0.0,1.0
1600000.0,23.375376695,3.8151579687275616E-7,1600000.0,92.3901875,70.35113656895746,70.77217046466575,50.55693848296696,1499169.0,35400.0,0.0,0.0,1145.0,-343.0,-343.0,3.0,0.0,0.0,1.0
1700000.0,24.739293308,3.9852016109817355E-7,1700000.0,92.36994117647059,70.29220780619109,70.70022114148765,50.44356317623332,1599169.0,11136.0,0.0,0.0,1200.0,-383.0,-383.0,1.0,0.0,0.0,1.0
1800000.0,26.116574866,4.149129828340995E-7,1800000.0,92.36961111111111,70.28328967481495,70.67378112575855,50.40997960031053,1699169.0,8952.0,0.0,0.0,1279.0,-405.0,-405.0,1.0,0.0,0.0,1.0
1900000.0,27.423249426,4.3148764455389855E-7,1900000.0,92.34384210526316,70.18761949726039,70.57730115452142,50.24608975521,1799169.0,11976.0,0.0,0.0,1313.0,-472.0,-472.0,1.0,0.0,0.0,1.0
2000000.0,28.748229613,4.5004127892518005E-7,2000000.0,92.3333,70.1634269869136,70.53371536845825,50.172230021317496,1899169.0,16936.0,0.0,0.0,1382.0,-500.0,-500.0,2.0,0.0,0.0,1.0
