learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.962495335,1.5519561773755897E-8,10000.0,79.5,69.18324320058326,69.26997451656423,68.8355123137732,10000.0,62328.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.422686609,2.3219832954462617E-8,20000.0,79.46,69.1591299853632,69.17073170731707,68.92116810410046,20000.0,64680.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.878153983,3.4342959975358097E-8,30000.0,79.62333333333333,69.4122608708131,69.4273568392098,69.06689606315149,30000.0,94400.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,2.40959811,5.597869563577076E-8,40000.0,80.095,70.13062001416152,70.11934249043009,69.9320241691843,40000.0,157368.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
50000.0,2.798907503,7.230171526777869E-8,50000.0,80.642,70.95417515807657,70.94440441882806,70.78214145561023,50000.0,162072.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
60000.0,3.309747686,9.975606556075936E-8,60000.0,81.14666666666666,71.7126115462913,71.7037296445456,71.58431510462458,60000.0,207744.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,3.809071416,1.3056078299299092E-7,70000.0,81.39714285714285,72.09042396577075,72.0821541891776,71.98605971947336,70000.0,238472.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
80000.0,4.257680541,1.6047803438386157E-7,80000.0,81.68125,72.51575998634804,72.548468670975,72.43694634091294,80000.0,257784.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
90000.0,4.705131525,1.9545483397474723E-7,90000.0,81.82000000000001,72.72495068124019,72.75860346636033,72.6378808655808,90000.0,302160.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
100000.0,5.184574434,2.3330053824914209E-7,100000.0,81.96799999999999,72.948321036585,72.94767162746038,72.8768689269276,100000.0,305128.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
