learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.575442831,1.6043755166460244E-8,100000.0,89.89399999999999,79.66121123692164,79.66599597585513,78.10184182015168,100000.0,24080.0,122.0,0.0,0.0,2.0,0.0,0.0,1.0
200000.0,4.016458652,2.2670502620380786E-8,200000.0,89.467,78.8121016646448,78.8423875380397,77.20154543781993,200000.0,17776.0,263.0,14.0,14.0,2.0,0.0,0.0,1.0
300000.0,5.445958479,2.9741320059742363E-8,300000.0,88.76566666666666,77.39972888097034,77.433394264441,75.72092353131866,300000.0,19120.0,422.0,33.0,33.0,2.0,0.0,0.0,1.0
400000.0,6.841465786,3.1728367195605404E-8,400000.0,88.7105,77.29309093672879,77.29943849313072,75.60068943532222,400000.0,5504.0,571.0,40.0,40.0,0.0,0.0,0.0,1.0
500000.0,8.17272209,3.8371095719979045E-8,500000.0,88.8482,77.57458916689502,77.58567322573514,75.88518443234453,500000.0,19288.0,673.0,15.0,15.0,2.0,0.0,0.0,1.0
600000.0,9.478800252,4.375290179170669E-8,600000.0,88.80449999999999,77.48754130312656,77.50432010287872,75.8160851673573,600000.0,15928.0,772.0,14.0,14.0,2.0,0.0,0.0,1.0
700000.0,10.792924627,4.5624068687367773E-8,700000.0,88.71742857142857,77.3116689340691,77.3121482762484,75.64001332461476,700000.0,5504.0,949.0,46.0,46.0,0.0,0.0,0.0,1.0
800000.0,12.170334425,6.704419240971407E-8,800000.0,88.6635,77.2054755462234,77.2006345168094,75.52014165559982,800000.0,60112.0,1126.0,82.0,82.0,4.0,0.0,0.0,1.0
900000.0,13.400887421,7.231089109907548E-8,900000.0,88.78533333333334,77.45128652844309,77.43921247803873,75.77360664394413,900000.0,16544.0,1249.0,98.0,98.0,2.0,0.0,0.0,1.0
1000000.0,14.800623487,9.744730776255744E-8,1000000.0,88.8138,77.50803787541668,77.49237418409805,75.8222994557629,1000000.0,69416.0,1351.0,67.0,67.0,5.0,0.0,0.0,1.0
1100000.0,16.144948636,1.0772205737449022E-7,1100000.0,88.63481818181819,77.14992170368724,77.13197082802105,75.43831730164719,1100000.0,29544.0,1528.0,113.0,113.0,3.0,0.0,0.0,1.0
1200000.0,17.461667239,1.203337662777284E-7,1200000.0,88.626,77.1329327754953,77.11852472757754,75.41598371728598,1200000.0,37024.0,1688.0,137.0,137.0,4.0,0.0,0.0,1.0
1300000.0,18.791951854,1.3017357673772714E-7,1300000.0,88.72246153846154,77.32843425565807,77.3216926437194,75.61905268724577,1300000.0,28592.0,1869.0,191.0,191.0,3.0,0.0,0.0,1.0
1400000.0,20.175956042,1.3458180059299908E-7,1400000.0,88.76792857142857,77.41875483947891,77.41645471270245,75.71935253253781,1400000.0,12312.0,2009.0,208.0,208.0,1.0,0.0,0.0,1.0
1500000.0,21.578628313,1.411541440466481E-7,1500000.0,88.6302,77.1409122838643,77.13359817977292,75.41009133967258,1500000.0,18112.0,2140.0,210.0,210.0,2.0,0.0,0.0,1.0
1600000.0,22.901955934,1.5791539451052126E-7,1600000.0,88.64649999999999,77.17369047335767,77.1681095592893,75.44598565600914,1600000.0,48960.0,2290.0,218.0,218.0,4.0,0.0,0.0,1.0
1700000.0,24.16843893,1.6608018472640259E-7,1700000.0,88.76670588235294,77.41513152062267,77.4170164104638,75.70261834995222,1700000.0,24920.0,2375.0,179.0,179.0,3.0,0.0,0.0,1.0
1800000.0,25.472205208,1.7526513715913107E-7,1800000.0,88.77472222222222,77.43176474714812,77.43836599971638,75.72510518260084,1800000.0,27232.0,2538.0,224.0,224.0,3.0,0.0,0.0,1.0
1900000.0,26.816399516,1.7907919366710096E-7,1900000.0,88.73573684210527,77.35358460403971,77.36013320244402,75.64447610604765,1900000.0,10968.0,2641.0,207.0,207.0,1.0,0.0,0.0,1.0
2000000.0,28.184846075,1.834973395986131E-7,2000000.0,88.70824999999999,77.29942905240425,77.30292383084956,75.58456076318316,2000000.0,12480.0,2725.0,155.0,155.0,1.0,0.0,0.0,1.0
