learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.718979561,3.154054375035274E-8,100000.0,99.1,98.08305076081585,98.05194805194805,97.61273209549071,100000.0,44840.0,230.0,100.0,100.0,4.0,0.0,0.0,1.0
200000.0,4.076737175,3.762705340842612E-8,200000.0,97.6,94.65278768002281,94.61883408071749,93.02325581395348,200000.0,17328.0,406.0,149.0,149.0,2.0,0.0,0.0,1.0
300000.0,5.492696384,4.458986742610939E-8,300000.0,98.3,96.23713987215129,96.20535714285714,95.1841359773371,300000.0,19008.0,607.0,222.0,222.0,2.0,0.0,0.0,1.0
400000.0,6.811160803,6.309864973440352E-8,400000.0,99.0,97.82457361642882,97.80701754385964,97.19101123595505,400000.0,54264.0,837.0,325.0,325.0,6.0,0.0,0.0,1.0
500000.0,8.057770564,7.964671004365716E-8,500000.0,98.4,96.55237799727637,96.52173913043478,95.62841530054644,500000.0,51312.0,985.0,352.0,352.0,4.0,0.0,0.0,1.0
600000.0,9.389124703,8.3829374065097E-8,600000.0,99.5,98.91561770752908,98.94736842105263,98.62258953168043,600000.0,12144.0,1228.0,461.0,461.0,1.0,0.0,0.0,1.0
700000.0,10.570247928,1.1069887161512755E-7,700000.0,95.3,89.83344148821111,90.76620825147347,87.29729729729728,700000.0,87936.0,1418.0,535.0,535.0,6.0,0.0,0.0,1.0
800000.0,11.873285607,1.2116774919778937E-7,800000.0,98.3,96.39448568398727,96.4509394572025,95.59585492227978,800000.0,31056.0,1635.0,619.0,619.0,3.0,0.0,0.0,1.0
900000.0,13.102063607,1.431781583468202E-7,900000.0,93.8,86.26276233692568,86.06741573033706,81.97674418604649,900000.0,69240.0,1773.0,639.0,639.0,5.0,0.0,0.0,1.0
1000000.0,14.399639934,1.6414094801927192E-7,1000000.0,96.3,91.97918924777801,92.09401709401709,90.02695417789757,1000000.0,62448.0,1949.0,696.0,696.0,5.0,0.0,0.0,1.0
1100000.0,15.747236849,1.719110860983448E-7,1100000.0,98.1,95.89902094521092,96.04989604989605,94.83695652173913,1100000.0,22288.0,2159.0,785.0,785.0,3.0,0.0,0.0,1.0
1200000.0,17.047507951,1.8843681501071073E-7,1200000.0,96.2,91.61932319418469,91.89765458422174,89.3854748603352,1200000.0,49128.0,2362.0,865.0,865.0,6.0,0.0,0.0,1.0
1300000.0,18.385208231,2.10994652033055E-7,1300000.0,95.8,90.70841684696762,91.26819126819126,87.61061946902655,1300000.0,65184.0,2533.0,905.0,905.0,5.0,0.0,0.0,1.0
1400000.0,19.671108993,2.2104641074060568E-7,1400000.0,99.5,98.9142708242856,98.88392857142857,98.60724233983287,1400000.0,30216.0,2725.0,981.0,981.0,3.0,0.0,0.0,1.0
1500000.0,20.906700349,2.247313171206415E-7,1500000.0,92.4,83.51002200110223,83.44226579520698,77.71260997067449,1500000.0,11528.0,2933.0,1068.0,1068.0,1.0,0.0,0.0,1.0
1600000.0,22.20560813,2.385783742693129E-7,1600000.0,97.3,94.29778247096093,94.35146443514644,93.1472081218274,1600000.0,41208.0,3133.0,1143.0,1143.0,4.0,0.0,0.0,1.0
1700000.0,23.496629494,2.42746546383407E-7,1700000.0,99.2,98.23238014432616,98.14814814814815,97.70773638968481,1700000.0,12480.0,3350.0,1228.0,1228.0,1.0,0.0,0.0,1.0
1800000.0,24.759644151,2.6431679874059024E-7,1800000.0,98.3,96.28593900200995,96.47302904564316,95.27777777777777,1800000.0,66016.0,3516.0,1270.0,1270.0,5.0,0.0,0.0,1.0
1900000.0,26.052251642,2.8320897539983406E-7,1900000.0,96.89999999999999,93.09933397442745,93.23144104803492,91.0919540229885,1900000.0,56496.0,3700.0,1335.0,1335.0,5.0,0.0,0.0,1.0
2000000.0,27.356397212,2.895652784984456E-7,2000000.0,98.8,97.34128584279023,97.27891156462584,96.54178674351584,2000000.0,18840.0,3863.0,1373.0,1373.0,2.0,0.0,0.0,1.0
