"seed" "acc" "kappa"
"1" 1 76.6 52.5587845317309
"2" 2 86.5 39.8256280421488
"3" 3 52.9 -0.10626992561104
"4" 4 65.3 29.6037523025862
"5" 5 63.3 25.2844078534841
"6" 6 82.1 16.9527697875104
"7" 7 56.7 11.3562292209175
"8" 8 80 18.8476364374113
"9" 9 98 8.91702340832458
"10" 10 64.5 25.3731343283582
"11" 11 73.6 47.5524475524476
"12" 12 57.6 11.0081268050238
"13" 13 69.8 17.9044429463062
"14" 14 78.1 33.4103624422282
"15" 15 97.2 -0.193229800329201
"16" 16 78 51.0578185134925
"17" 17 69 10.3823493700746
"18" 18 97.1 5.79521829521831
"19" 19 84.9 7.20027532633549
"20" 20 74.1 23.2583497285894
