learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.408472683,1.20633661567486E-7,100000.0,80.285,55.15207257707222,55.91359377445827,41.671597633136074,100000.0,331072.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
200000.0,2.10083406,2.0259353757508517E-7,200000.0,74.9565,41.85213594497837,43.8970843554331,25.916667899244207,200000.0,457584.0,229.0,115.0,115.0,10.0,0.0,0.0,1.0
300000.0,2.653978006,2.936192149362962E-7,300000.0,73.43233333333333,37.39572657101341,40.58444220805845,21.304304897314378,300000.0,636104.0,319.0,160.0,160.0,11.0,0.0,0.0,1.0
400000.0,3.199139004,4.0674616636229063E-7,400000.0,72.66375000000001,34.939902724667746,38.87345359816193,19.075636471284795,400000.0,802128.0,401.0,201.0,201.0,11.0,0.0,0.0,1.0
500000.0,3.749334701,5.427647447352775E-7,500000.0,72.1246,33.450941137442676,37.6824230067604,17.60153709725099,500000.0,955616.0,481.0,241.0,241.0,11.0,0.0,0.0,1.0
600000.0,4.288585663,6.999016208685232E-7,600000.0,71.35000000000001,31.293723302895867,35.95714083468075,15.288482387494827,600000.0,1126392.0,565.0,283.0,283.0,12.0,0.0,0.0,1.0
700000.0,4.82879153,8.825000010788318E-7,700000.0,71.10914285714286,30.610949991901848,35.4373643212872,14.585462685306434,700000.0,1306592.0,655.0,328.0,328.0,12.0,0.0,0.0,1.0
800000.0,5.396978286,1.100539562343711E-6,800000.0,70.9135,29.94451336125194,35.01149277616876,13.95163079653871,800000.0,1483360.0,743.0,372.0,372.0,12.0,0.0,0.0,1.0
900000.0,6.01286811,1.3598541759562038E-6,900000.0,70.60711111111111,28.957805961356037,34.315283461125894,13.06479652700867,900000.0,1627520.0,815.0,408.0,408.0,12.0,0.0,0.0,1.0
1000000.0,6.703592295,1.6748403831588086E-6,1000000.0,70.3873,28.19960893374307,33.866713714315054,12.483228220329442,1000000.0,1762744.0,883.0,442.0,442.0,12.0,3860.072398190045,0.0,1.0331693776404447
1100000.0,7.248357978,1.9418081824909814E-6,1100000.0,70.11072727272727,27.244646591630218,33.23477748784128,11.624631413142508,1100000.0,1894312.0,949.0,475.0,475.0,12.0,3860.072398190045,0.0,1.0331693776404447
1200000.0,7.828528523,2.252419944130528E-6,1200000.0,69.93258333333333,26.57445662003998,32.78883964912475,11.069895149880939,1200000.0,2069496.0,1039.0,520.0,520.0,12.0,3860.072398190045,0.0,1.0331693776404447
1300000.0,8.43182139,2.593271850296141E-6,1300000.0,69.7083076923077,25.785126119688467,32.281595971894056,10.380220435454458,1300000.0,2183936.0,1095.0,548.0,548.0,12.0,3860.072398190045,0.0,1.0331693776404447
1400000.0,9.046793378,2.972819764814118E-6,1400000.0,69.59357142857144,25.28517897212348,32.02478909943905,9.997547444267804,1400000.0,2385688.0,1199.0,600.0,600.0,13.0,3860.072398190045,0.0,1.0331693776404447
1500000.0,9.612456841,3.3418245117909437E-6,1500000.0,69.43986666666667,24.737336786596607,31.71174257941977,9.578092113957958,1500000.0,2521600.0,1265.0,633.0,633.0,14.0,3860.072398190045,0.0,1.0331693776404447
1600000.0,10.203199199,3.741694189250376E-6,1600000.0,69.2830625,24.149111206525028,31.37442174477041,9.115100543307411,1600000.0,2616512.0,1313.0,657.0,657.0,14.0,3860.072398190045,0.0,1.0331693776404447
1700000.0,10.770253836,4.143077162726362E-6,1700000.0,69.12764705882353,23.55880191600783,31.018574500412694,8.65849838142644,1700000.0,2736128.0,1377.0,689.0,689.0,14.0,3860.072398190045,0.0,1.0331693776404447
1800000.0,11.36691273,4.594355075486491E-6,1800000.0,69.04933333333332,23.222054990290665,30.8627634939427,8.428475155738917,1800000.0,2923616.0,1467.0,734.0,734.0,14.0,3860.072398190045,0.0,1.0331693776404447
1900000.0,11.951304344,5.058566471760623E-6,1900000.0,68.94684210526316,22.775560120577946,30.63169936523204,8.118310464524168,1900000.0,3070536.0,1541.0,771.0,771.0,14.0,3860.072398190045,0.0,1.0331693776404447
2000000.0,12.624783743,5.6171856037620355E-6,2000000.0,68.84320000000001,22.353972579120292,30.39289827405362,7.8064802485574845,2000000.0,3206224.0,1607.0,804.0,804.0,14.0,3859.820895522388,0.0,1.033167316298542
