learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.712427082,8.403640947726866E-9,100000.0,95.39999999999999,89.67684021543985,89.68609865470852,86.4705882352941,100000.0,11976.0,151.0,23.0,23.0,1.0,0.0,0.0,1.0
200000.0,4.100386272,1.5329306632371412E-8,200000.0,97.7,94.93744442194419,94.80812641083521,93.59331476323119,200000.0,19288.0,291.0,32.0,32.0,2.0,0.0,0.0,1.0
300000.0,5.506579149,3.4179091894736305E-8,300000.0,95.7,90.0282918231993,90.3153153153153,86.52037617554858,300000.0,51816.0,444.0,54.0,54.0,3.0,0.0,0.0,1.0
400000.0,6.832831812,5.6733278650881516E-8,400000.0,93.4,83.37171276397407,84.82758620689657,77.47440273037545,400000.0,65736.0,540.0,29.0,29.0,4.0,0.0,0.0,1.0
500000.0,8.150804891,6.064477840299821E-8,500000.0,98.5,96.6696269982238,96.5675057208238,95.65217391304347,500000.0,11472.0,769.0,113.0,113.0,1.0,0.0,0.0,1.0
600000.0,9.426127258,6.567814179219926E-8,600000.0,95.39999999999999,89.62936243123816,89.84547461368652,86.22754491017963,600000.0,15256.0,978.0,184.0,184.0,2.0,0.0,0.0,1.0
700000.0,10.663825866,7.180024180006442E-8,700000.0,96.8,93.00356818022809,93.4020618556701,91.01123595505616,700000.0,19120.0,1152.0,230.0,230.0,2.0,0.0,0.0,1.0
800000.0,11.887350033,8.168346764130724E-8,800000.0,95.3,89.06641108433286,89.3424036281179,85.40372670807453,800000.0,31224.0,1318.0,270.0,270.0,3.0,0.0,0.0,1.0
900000.0,13.319821552,8.593477753584169E-8,900000.0,79.0,50.14079290384771,54.04814004376368,38.775510204081634,900000.0,11472.0,1479.0,300.0,300.0,1.0,0.0,0.0,1.0
1000000.0,14.6033431,1.0486151025292359E-7,1000000.0,96.39999999999999,91.84664444122336,91.58878504672896,89.15662650602408,1000000.0,57000.0,1628.0,317.0,317.0,5.0,0.0,0.0,1.0
1100000.0,15.920939562,1.0900095231040897E-7,1100000.0,94.39999999999999,87.57350493731276,88.16067653276954,84.40111420612811,1100000.0,12144.0,1760.0,312.0,312.0,1.0,0.0,0.0,1.0
1200000.0,17.230338409,1.1305773151032832E-7,1200000.0,95.0,88.36408318284214,88.3720930232558,84.66257668711656,1200000.0,11976.0,1933.0,355.0,355.0,1.0,0.0,0.0,1.0
1300000.0,18.531391072,1.1491028574250844E-7,1300000.0,91.2,80.98859315589354,80.70175438596492,74.11764705882354,1300000.0,5504.0,2115.0,410.0,410.0,0.0,0.0,0.0,1.0
1400000.0,19.839306725,1.2546978451443628E-7,1400000.0,95.39999999999999,89.41570065760712,89.59276018099547,85.93272171253821,1400000.0,31208.0,2285.0,454.0,454.0,4.0,0.0,0.0,1.0
1500000.0,21.11267831,1.3619840476076843E-7,1500000.0,95.19999999999999,89.49188905186189,89.80891719745222,86.3247863247863,1500000.0,32568.0,2485.0,530.0,530.0,4.0,0.0,0.0,1.0
1600000.0,22.348764632,1.42097640074179E-7,1600000.0,96.3,91.77353657885843,91.51376146788989,89.24418604651162,1600000.0,18448.0,2648.0,582.0,582.0,2.0,0.0,0.0,1.0
1700000.0,23.666124613,1.5732194564327806E-7,1700000.0,90.9,79.47158506433742,80.67940552016985,74.79224376731302,1700000.0,44672.0,2881.0,678.0,678.0,5.0,0.0,0.0,1.0
1800000.0,24.977395237,1.7234290162608235E-7,1800000.0,95.1,89.14574823452271,88.36104513064133,85.10638297872339,1800000.0,44280.0,3026.0,688.0,688.0,4.0,0.0,0.0,1.0
1900000.0,26.311450288,1.788201324747151E-7,1900000.0,97.0,93.37303620973015,93.30357142857142,91.52542372881355,1900000.0,18768.0,3249.0,786.0,786.0,2.0,0.0,0.0,1.0
2000000.0,27.630752219,1.874974543473228E-7,2000000.0,98.4,96.38741374950327,96.26168224299066,95.20958083832335,2000000.0,25424.0,3368.0,774.0,774.0,2.0,0.0,0.0,1.0
