learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.95940719,4.752849496569898E-8,100000.0,96.626,93.07315193040276,93.10626647324439,92.07683637046779,18668.0,25592.0,59.0,187.0,37.0,19.0,19.0,2.0,0.0,0.0,1.0
200000.0,4.69091676,7.528302862836669E-8,200000.0,96.553,92.93160753540852,92.95322593834328,91.92815661296365,3053.0,24848.0,45.0,148.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
300000.0,6.163094747,9.105645710550455E-8,300000.0,96.75033333333334,93.34041524965313,93.35455549344933,92.40163985534356,741.0,11808.0,53.0,182.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400000.0,7.67769919,1.0714026426644375E-7,400000.0,96.817,93.47742170537437,93.49458904319567,92.55525669512336,1386.0,16096.0,69.0,200.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
500000.0,9.233238751,1.2741253372985248E-7,500000.0,96.8372,93.51923973299493,93.54222220407297,92.6058231363766,5245.0,20128.0,58.0,185.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
600000.0,10.8286277,1.552535313768664E-7,600000.0,96.79483333333333,93.43335550706826,93.46217916029235,92.51583928766014,3189.0,36464.0,67.0,188.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
700000.0,12.349054765,1.7354835536595228E-7,700000.0,96.63028571428572,93.09649596147432,93.13036235387312,92.13324261949548,1523.0,12480.0,36.0,134.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
800000.0,14.210798011,2.5265968045871497E-7,800000.0,96.614375,93.06454488501956,93.09517618326527,92.09829216918435,88303.0,43416.0,5.0,43.0,205.0,89.0,89.0,3.0,0.0,0.0,1.0
900000.0,15.639370656,3.1329917972927913E-7,900000.0,96.57722222222222,92.98830206747553,93.01771580369366,92.01090282892622,188303.0,43216.0,0.0,0.0,397.0,155.0,155.0,3.0,0.0,0.0,1.0
1000000.0,17.926653298,4.003011981489282E-7,1000000.0,96.5112,92.85111264733456,92.87938966197102,91.85048318262831,288303.0,67352.0,0.0,6.0,638.0,242.0,242.0,4.0,0.0,0.0,1.0
1100000.0,20.464021258,4.3616267581626985E-7,1100000.0,96.47618181818181,92.7791125349991,92.80574471362736,91.77090498390781,388303.0,15088.0,0.0,2.0,840.0,314.0,314.0,2.0,0.0,0.0,1.0
1200000.0,23.063603129,5.171871250878544E-7,1200000.0,96.42258333333334,92.66869128901007,92.69113227945621,91.64485220989368,488303.0,47552.0,0.0,0.0,979.0,317.0,317.0,3.0,0.0,0.0,1.0
1300000.0,25.590169271,5.697646772826856E-7,1300000.0,96.38292307692308,92.58714081658614,92.6080217316804,91.55069278856607,588303.0,30424.0,0.0,0.0,1126.0,337.0,337.0,4.0,0.0,0.0,1.0
1400000.0,28.313415246,6.308594099666654E-7,1400000.0,96.344,92.50664940356226,92.52924648786717,91.4592695059011,688303.0,30664.0,0.0,0.0,1401.0,465.0,465.0,3.0,0.0,0.0,1.0
1500000.0,30.964132924,6.747633915650369E-7,1500000.0,96.31386666666667,92.44425414265548,92.46456607064981,91.38595567409588,788303.0,33048.0,0.0,0.0,1633.0,560.0,560.0,5.0,0.0,0.0,1.0
1600000.0,33.402411506,7.214111604714746E-7,1600000.0,96.3094375,92.43539023098876,92.45652046163553,91.37396573485414,888303.0,30048.0,0.0,0.0,1829.0,636.0,636.0,3.0,0.0,0.0,1.0
1700000.0,35.894937868,7.681940215771128E-7,1700000.0,96.28958823529412,92.3954753136731,92.41656076838272,91.33100426598646,988303.0,23128.0,0.0,0.0,2013.0,683.0,683.0,3.0,0.0,0.0,1.0
1800000.0,38.458509503,8.010461885591079E-7,1800000.0,96.283,92.38206197708988,92.40218261516361,91.31660404539879,1088303.0,12312.0,0.0,0.0,2233.0,765.0,765.0,1.0,0.0,0.0,1.0
1900000.0,41.066617949,8.342423889541108E-7,1900000.0,96.25247368421053,92.31953077437669,92.3414246931321,91.2437959004983,1188303.0,12144.0,0.0,0.0,2413.0,809.0,809.0,1.0,0.0,0.0,1.0
2000000.0,43.6703646,9.423349032811324E-7,2000000.0,96.24445,92.30276152577868,92.3218071675809,91.22151500772534,1288303.0,66472.0,0.0,0.0,2548.0,808.0,808.0,5.0,0.0,0.0,1.0
