learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.879337422,3.804285100360711E-8,100000.0,96.188,90.79921793082084,90.73655561225729,86.79872558526111,3677.0,25984.0,54.0,182.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
200000.0,4.396846689,5.157589401956854E-8,200000.0,96.5785,91.68763310084874,91.64336219424328,88.09581796673858,559.0,5336.0,81.0,235.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300000.0,5.882973676,7.548636183657787E-8,300000.0,96.73433333333334,92.08335359026209,92.0493738993532,88.6762139232752,3745.0,31840.0,64.0,187.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
400000.0,7.394161688,9.647231195330826E-8,400000.0,96.80125000000001,92.23934178069811,92.19183850317637,88.90526772165622,2674.0,24416.0,62.0,202.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
500000.0,8.901821931,1.1489746062690184E-7,500000.0,96.8464,92.34967594135544,92.30829268292683,89.06670364720566,1356.0,17328.0,58.0,178.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
600000.0,10.373837082,1.3028528655905068E-7,600000.0,96.7465,92.10432589457265,92.06505347278396,88.71918449429631,715.0,10632.0,67.0,213.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700000.0,11.780846628,1.4121094174314081E-7,700000.0,96.80014285714286,92.23149944234407,92.19484488303941,88.90331082520447,340.0,5336.0,61.0,192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800000.0,13.206173771,1.683968995182568E-7,800000.0,96.804375,92.24416125170713,92.20733696066328,88.91711571892435,3686.0,31840.0,64.0,188.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
900000.0,14.592137193,2.0304140848215463E-7,900000.0,96.76555555555557,92.14767454129338,92.11596118377044,88.7818413040965,42387.0,65624.0,47.0,140.0,91.0,38.0,38.0,5.0,0.0,0.0,1.0
1000000.0,16.0437618,2.264959051333161E-7,1000000.0,96.63119999999999,91.82370965107779,91.78784118804253,88.31203075343129,142387.0,32152.0,0.0,0.0,294.0,93.0,93.0,3.0,0.0,0.0,1.0
1100000.0,17.499835588,2.437783198473561E-7,1100000.0,96.53399999999999,91.59006955804847,91.55766654487881,87.97575344712308,242387.0,15968.0,0.0,0.0,448.0,105.0,105.0,2.0,0.0,0.0,1.0
1200000.0,18.900371053,2.7014648570193803E-7,1200000.0,96.45308333333334,91.39570966779293,91.3619934204785,87.69805714682097,342387.0,42320.0,0.0,0.0,617.0,132.0,132.0,4.0,0.0,0.0,1.0
1300000.0,20.317546644,2.9676634570184473E-7,1300000.0,96.411,91.29152797951544,91.25403725427344,87.54072357106998,442387.0,42152.0,0.0,0.0,852.0,217.0,217.0,4.0,0.0,0.0,1.0
1400000.0,21.629011143,3.1076083530550824E-7,1400000.0,96.40142857142857,91.26870352964306,91.2319936511141,87.5063546975164,542387.0,11472.0,0.0,0.0,968.0,208.0,208.0,1.0,0.0,0.0,1.0
1500000.0,23.077126757,3.335682211246238E-7,1500000.0,96.371,91.19327561295255,91.15757977427339,87.39778862270457,642387.0,30776.0,0.0,0.0,1214.0,311.0,311.0,2.0,0.0,0.0,1.0
1600000.0,24.460187835,3.5087137544520404E-7,1600000.0,96.2986875,91.01945051840511,90.98286895841868,87.1522911577495,742387.0,18448.0,0.0,0.0,1374.0,344.0,344.0,2.0,0.0,0.0,1.0
1700000.0,25.948145017,3.71922732834015E-7,1700000.0,96.29188235294117,91.00027406451,90.96178854444906,87.12151392387476,842387.0,24640.0,0.0,0.0,1589.0,424.0,424.0,2.0,0.0,0.0,1.0
1800000.0,27.425958333,3.9028285367013885E-7,1800000.0,96.26283333333333,90.93139704504297,90.8957906447343,87.02780568609792,942387.0,18112.0,0.0,0.0,1746.0,463.0,463.0,2.0,0.0,0.0,1.0
1900000.0,28.882608699,4.0574219389490163E-7,1900000.0,96.2177894736842,90.82303533589709,90.78601349107541,86.86979607274216,1042387.0,11248.0,0.0,0.0,1927.0,506.0,506.0,1.0,0.0,0.0,1.0
2000000.0,30.351588644,4.412639993414552E-7,2000000.0,96.2123,90.8124938512459,90.77231915005059,86.85390119167647,1142387.0,62688.0,0.0,0.0,2199.0,619.0,619.0,4.0,0.0,0.0,1.0
