learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,3.005482634,2.2946185198148917E-8,100000.0,97.048,94.0560625726798,94.07121768994396,93.66210790733625,43.0,4832.0,76.0,237.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200000.0,4.556232778,4.49308585856234E-8,200000.0,96.9545,93.87008392868132,93.89165229251073,93.48444653630568,3740.0,25088.0,53.0,195.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
300000.0,6.069732105,5.842814123313667E-8,300000.0,96.90633333333334,93.77085057985127,93.78840001606277,93.3689144196282,527.0,5336.0,62.0,195.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400000.0,7.501469909,7.364382790775969E-8,400000.0,96.94924999999999,93.85682476833914,93.86860947117196,93.45757314189824,826.0,11136.0,61.0,234.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500000.0,8.9735175,9.679462303473303E-8,500000.0,96.9746,93.90751309513425,93.92067581090477,93.5066384502127,2235.0,31112.0,74.0,226.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
600000.0,10.557624698,1.1376730012161864E-7,600000.0,96.988,93.93367866591242,93.94424767195997,93.52902842329148,1381.0,11976.0,60.0,214.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700000.0,12.070898909,1.2991214649662583E-7,700000.0,97.02457142857142,94.00815848199139,94.01803664771094,93.61196391931225,2275.0,12368.0,71.0,258.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
800000.0,13.453070772,1.5217009223702053E-7,800000.0,97.0625,94.0853017879833,94.09559606842073,93.69706202627385,4997.0,32232.0,66.0,180.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
900000.0,14.942537761,1.704592138204082E-7,900000.0,97.07566666666668,94.11153297962039,94.12276999551152,93.72343926624409,1525.0,17720.0,59.0,205.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1000000.0,16.434377084,1.9636349989365992E-7,1000000.0,97.05850000000001,94.0769639978081,94.08987251484314,93.68580352255532,3204.0,36800.0,60.0,228.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
1100000.0,17.964688343,2.3468590523256816E-7,1100000.0,97.02136363636363,94.0013611270524,94.01363353169128,93.60247270824425,21801.0,52768.0,50.0,197.0,41.0,16.0,16.0,5.0,0.0,0.0,1.0
1200000.0,19.630341181,2.497572588132384E-7,1200000.0,96.92058333333333,93.7976844960311,93.81081904940558,93.38538673998535,121801.0,5336.0,0.0,5.0,201.0,51.0,51.0,0.0,0.0,0.0,1.0
1300000.0,21.143868135,2.660614218593575E-7,1300000.0,96.86923076923077,93.69345955493544,93.70857241788683,93.27179310846465,221801.0,11864.0,0.0,0.0,370.0,79.0,79.0,1.0,0.0,0.0,1.0
1400000.0,22.693371381,3.3762252023645365E-7,1400000.0,96.83071428571428,93.61621950049708,93.63262986593651,93.19090032963592,321801.0,145848.0,0.0,0.0,550.0,125.0,125.0,7.0,0.0,0.0,1.0
1500000.0,24.135893006,3.607478237467197E-7,1500000.0,96.8044,93.56270636457849,93.57818076589177,93.13245813985807,421801.0,31784.0,0.0,0.0,767.0,212.0,212.0,4.0,0.0,0.0,1.0
1600000.0,25.696915766,3.964923066394714E-7,1600000.0,96.772375,93.49870320538082,93.51163500716784,93.06658718522934,521801.0,57784.0,0.0,0.0,955.0,255.0,255.0,5.0,0.0,0.0,1.0
1700000.0,27.146321872,4.2462048575246295E-7,1700000.0,96.7345294117647,93.42214485919726,93.43551818290393,92.98444934505267,621801.0,44560.0,0.0,0.0,1140.0,304.0,304.0,5.0,0.0,0.0,1.0
1800000.0,28.602768697,4.397400674928125E-7,1800000.0,96.6776111111111,93.30714099527549,93.32116759789638,92.86104810791451,721801.0,10352.0,0.0,0.0,1318.0,349.0,349.0,1.0,0.0,0.0,1.0
1900000.0,30.160191128,4.985547170632498E-7,1900000.0,96.63115789473684,93.21338930417973,93.22802106245418,92.76180611075992,821801.0,114048.0,0.0,0.0,1546.0,432.0,432.0,7.0,0.0,0.0,1.0
2000000.0,31.664639857,5.145649289774439E-7,2000000.0,96.60195,93.15454793576534,93.17134781503428,92.70042651824276,921801.0,11360.0,0.0,0.0,1760.0,510.0,510.0,1.0,0.0,0.0,1.0
