"seed" "acc" "kappa"
"1" 1 84.509 76.765
"2" 2 84.512 76.77
"3" 3 84.59 76.887
"4" 4 84.666 77.001
"5" 5 84.481 76.723
"6" 6 84.342 76.514
"7" 7 84.799 77.2
"8" 8 84.153 76.231
"9" 9 84.641 76.963
"10" 10 84.578 76.869
"11" 11 84.539 76.81
"12" 12 84.457 76.688
"13" 13 84.369 76.555
"14" 14 84.547 76.822
"15" 15 84.648 76.974
"16" 16 84.626 76.94
"17" 17 84.513 76.772
"18" 18 84.434 76.653
"19" 19 84.605 76.91
"20" 20 84.568 76.853
