"seed" "acc" "kappa"
"1" 1 77.45455 54.7757723471886
"2" 2 83.95655 29.3917151648873
"3" 3 73.4734 43.0588295609063
"4" 4 73.0467 44.9855746952243
"5" 5 72.06165 43.1521883286061
"6" 6 83.37765 21.8729813463717
"7" 7 61.572 22.0496926464146
"8" 8 78.38975 12.7643684037922
"9" 9 98.1665 14.6081788421138
"10" 10 65.65775 29.1044298258018
"11" 11 74.93125 49.8076664335487
"12" 12 59.5718 14.515072275544
"13" 13 68.8432 22.3539725791203
"14" 14 76.17895 29.5535680557708
"15" 15 96.9101 5.02096922221682
"16" 16 80.4608 56.7645079268042
"17" 17 70.9067 25.4275073581716
"18" 18 97.5558 5.54894813389353
"19" 19 84.6607 15.1572570807118
"20" 20 76.8663 38.1591675664987
