learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.487916175,2.9745805062715793E-8,100000.0,95.717,91.37378704610232,91.39804382318088,90.80447431135539,100000.0,46216.0,135.0,16.0,16.0,3.0,0.0,0.0,1.0
200000.0,3.87405748,4.044056461920134E-8,200000.0,95.5735,91.08513225851674,91.12178587187613,90.52993025544478,200000.0,29824.0,327.0,86.0,86.0,3.0,0.0,0.0,1.0
300000.0,5.290362008,7.646784493009041E-8,300000.0,95.74066666666667,91.42086092507384,91.4479232200463,90.87037910289935,300000.0,98328.0,493.0,119.0,119.0,6.0,0.0,0.0,1.0
400000.0,6.680300672,8.761476684912831E-8,400000.0,95.7805,91.50021938094679,91.51965833438011,90.95115295328677,400000.0,31000.0,758.0,243.0,243.0,3.0,0.0,0.0,1.0
500000.0,8.045290244,1.011040951869616E-7,500000.0,95.825,91.5881835569156,91.61063710931693,91.0392726679573,500000.0,38200.0,915.0,268.0,268.0,3.0,0.0,0.0,1.0
600000.0,9.382623251,1.0686655493978203E-7,600000.0,95.88516666666666,91.70776238199946,91.72695500072045,91.15970466703428,600000.0,16656.0,1081.0,306.0,306.0,2.0,0.0,0.0,1.0
700000.0,10.786917615,1.412891943809742E-7,700000.0,95.93128571428572,91.8022692508297,91.82003561376301,91.26475630813964,700000.0,94752.0,1275.0,364.0,364.0,5.0,0.0,0.0,1.0
800000.0,12.051393167,1.4549989241262485E-7,800000.0,96.018,91.9782168712823,91.99614078108984,91.45589820889278,800000.0,12872.0,1429.0,393.0,393.0,1.0,0.0,0.0,1.0
900000.0,13.459366831,1.520562807013612E-7,900000.0,96.04944444444445,92.04107479754836,92.06030195639697,91.52083601623573,900000.0,18000.0,1654.0,469.0,469.0,2.0,0.0,0.0,1.0
1000000.0,14.869839108,1.758967459453891E-7,1000000.0,96.0276,91.9968422963064,92.01856521433379,91.4728831932683,1000000.0,65336.0,1827.0,513.0,513.0,6.0,0.0,0.0,1.0
1100000.0,16.23600519,1.8562591585091006E-7,1100000.0,96.00945454545455,91.95934401811672,91.97993155828233,91.42909024877429,1100000.0,27528.0,2063.0,607.0,607.0,3.0,0.0,0.0,1.0
1200000.0,17.651786785,1.963237463262491E-7,1200000.0,96.019,91.97822970725879,91.9987672889401,91.44877805164886,1200000.0,29208.0,2262.0,669.0,669.0,3.0,0.0,0.0,1.0
1300000.0,19.038250904,2.0308126356852551E-7,1300000.0,96.03953846153847,92.01907153738343,92.0412668183617,91.48873562610346,1300000.0,18840.0,2471.0,728.0,728.0,2.0,0.0,0.0,1.0
1400000.0,20.343068071,2.5206755489382477E-7,1400000.0,96.03935714285714,92.01911207365218,92.04272466613281,91.49069714622453,1400000.0,145120.0,2671.0,801.0,801.0,7.0,0.0,0.0,1.0
1500000.0,21.726024901,2.631985548990923E-7,1500000.0,96.02386666666666,91.98736462791943,92.0096352743213,91.45504377638869,1500000.0,31112.0,2830.0,821.0,821.0,3.0,0.0,0.0,1.0
1600000.0,23.079880444,2.718677794668906E-7,1600000.0,96.04356250000001,92.02767892069414,92.04653249019684,91.50099083278288,1600000.0,24752.0,3032.0,882.0,882.0,3.0,0.0,0.0,1.0
1700000.0,24.390197137,2.7974567154295947E-7,1700000.0,96.03411764705882,92.00851888314897,92.02750051143667,91.47968178342822,1700000.0,23240.0,3205.0,915.0,915.0,2.0,0.0,0.0,1.0
1800000.0,25.727203576,2.940542224472968E-7,1800000.0,96.0273888888889,91.99477882207331,92.01405834862426,91.46388922048465,1800000.0,41368.0,3367.0,946.0,946.0,4.0,0.0,0.0,1.0
1900000.0,27.082146825,3.09182872277194E-7,1900000.0,96.02368421052631,91.9873802061049,92.00688962736552,91.45660623153219,1900000.0,43160.0,3560.0,1011.0,1011.0,4.0,0.0,0.0,1.0
2000000.0,28.401970669,3.2620567362470134E-7,2000000.0,96.02340000000001,91.98694275549316,92.00870549911428,91.45760541853245,2000000.0,49856.0,3739.0,1061.0,1061.0,4.0,0.0,0.0,1.0
