learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.891980059,1.4382552437627068E-8,10000.0,79.91,69.84254536242595,70.0014932059131,69.4727245099529,10000.0,62328.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.355774994,2.2122965495431177E-8,20000.0,80.06,70.0760967560748,70.24102678904558,69.79931843998484,20000.0,64512.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.811230565,3.3384368449130824E-8,30000.0,80.02666666666667,70.03376687367856,70.14895630947042,69.80143130732789,30000.0,95576.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,2.41310862,5.55083628269968E-8,40000.0,80.15,70.22092243466264,70.31997607655501,70.11329845296798,40000.0,142088.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,2.858585397,7.407020940640321E-8,50000.0,80.65,70.96939430616295,71.0199191253557,70.86194434405493,50000.0,161064.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
60000.0,3.381857146,1.0007872579914415E-7,60000.0,81.19,71.779896747078,71.85606343981446,71.67381974248926,60000.0,192128.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
70000.0,3.923434831,1.35214082077396E-7,70000.0,81.38428571428571,72.07206069301716,72.10173628208696,71.970919102622,70000.0,250776.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
80000.0,4.393789932,1.682422538307599E-7,80000.0,81.59875,72.39443826860403,72.43671360095865,72.30031047135196,80000.0,271432.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
90000.0,4.901815547,2.0172449188022358E-7,90000.0,81.67,72.50364682298948,72.51324602619214,72.4374718059245,90000.0,254760.0,30.0,12.0,12.0,5.0,0.0,0.0,1.0
100000.0,5.33251577,2.3400224023121514E-7,100000.0,81.818,72.72494493779254,72.7369510128803,72.66481244831992,100000.0,289688.0,34.0,14.0,14.0,5.0,0.0,0.0,1.0
110000.0,5.77406055,2.6870377772880515E-7,110000.0,82.02090909090909,73.03107195514822,73.04337158901943,72.98556188446777,110000.0,303792.0,36.0,15.0,15.0,5.0,0.0,0.0,1.0
120000.0,6.2408377,3.1280854669223236E-7,120000.0,82.11833333333334,73.17619570928125,73.19291407440723,73.10825375341506,120000.0,365240.0,44.0,19.0,19.0,6.0,0.0,0.0,1.0
130000.0,6.687239543,3.6067547619616206E-7,130000.0,82.20076923076924,73.2994535616763,73.28029192023003,73.2295944929716,130000.0,414488.0,48.0,21.0,21.0,6.0,0.0,0.0,1.0
140000.0,7.133992285,4.090654480842936E-7,140000.0,82.29785714285714,73.4444519029741,73.407086293109,73.36707718099169,140000.0,418688.0,48.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,7.594496811,4.6224539935776553E-7,150000.0,82.35533333333333,73.53167417509111,73.50889309271437,73.4701241943406,150000.0,446392.0,52.0,23.0,23.0,6.0,0.0,0.0,1.0
160000.0,8.049673668,5.154827152866208E-7,160000.0,82.39,73.58446441727713,73.55260193737327,73.5257638967189,160000.0,452104.0,52.0,23.0,23.0,6.0,0.0,0.0,1.0
