learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.940420462,5.82748534449935E-8,100000.0,96.85000000000001,93.35495403179966,93.34797482789206,91.81903178890506,5511.0,47000.0,68.0,171.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
200000.0,4.61553094,8.680330065301309E-8,200000.0,96.941,93.5439444885562,93.53112840466926,92.04276461254325,4814.0,35176.0,34.0,138.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
300000.0,6.200155147,1.0174819781315202E-7,300000.0,96.89866666666667,93.4472784081366,93.44484055969676,91.92052520059745,1045.0,11640.0,59.0,183.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400000.0,7.663166789,1.19860839970652E-7,400000.0,96.8795,93.40641639287513,93.39985300105225,91.85747648309783,2095.0,17944.0,49.0,157.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
500000.0,9.062769938,1.4671836259225382E-7,500000.0,96.942,93.53802519973311,93.54007351387891,92.01745822086946,4981.0,43888.0,54.0,161.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
600000.0,10.500661759,1.686029042437652E-7,600000.0,96.90950000000001,93.46945161949195,93.466817931987,91.93579250419673,2558.0,28480.0,54.0,174.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
700000.0,11.913939734,1.8132926676775017E-7,700000.0,96.93128571428572,93.51420103168957,93.50748659545788,91.98867726091157,395.0,5336.0,46.0,142.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800000.0,13.357590866,1.9863453858479856E-7,800000.0,96.935625,93.52241552746405,93.51928221721705,91.99693131365892,1802.0,17328.0,64.0,234.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
900000.0,14.756788718,2.1609903528802096E-7,900000.0,96.95644444444444,93.5666317228799,93.56105037246334,92.05619131029923,2346.0,17832.0,50.0,166.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1000000.0,16.169586377,2.2899358474928886E-7,1000000.0,96.9687,93.59182482885623,93.58552770794714,92.08552324108959,379.0,10464.0,46.0,153.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1100000.0,17.607919996,2.427463244597738E-7,1100000.0,96.95572727272727,93.56430139436542,93.56105908819967,92.05316715236316,1542.0,12144.0,54.0,145.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1200000.0,19.030917391,2.67867545942838E-7,1200000.0,96.9825,93.62314900585102,93.61599720732936,92.12992042982242,6304.0,31504.0,51.0,195.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
1300000.0,20.533319891,2.8873149117657707E-7,1300000.0,96.98138461538461,93.62091864510285,93.61849177064818,92.12654667150873,1964.0,18112.0,58.0,171.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1400000.0,21.909646893,3.0329848614874813E-7,1400000.0,96.99528571428571,93.64971859684466,93.64763443620603,92.16061185468452,1021.0,11640.0,50.0,173.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1500000.0,23.390007382,3.474901969928377E-7,1500000.0,96.9658,93.58628714463433,93.5840795290509,92.08177623749975,21960.0,77816.0,44.0,135.0,59.0,30.0,30.0,4.0,0.0,0.0,1.0
1600000.0,24.819850928,3.6788508873966005E-7,1600000.0,96.94625,93.5439857301337,93.54427837557871,92.02755600372679,121960.0,18784.0,0.0,0.0,252.0,97.0,97.0,2.0,0.0,0.0,1.0
1700000.0,26.220062247,4.059893832978834E-7,1700000.0,96.88476470588235,93.4139730545812,93.41794712135392,91.86778763100311,221960.0,67816.0,0.0,0.0,445.0,155.0,155.0,5.0,0.0,0.0,1.0
1800000.0,27.662124235,4.3866070196186297E-7,1800000.0,96.85494444444444,93.35138518010532,93.35480667536086,91.7934020756049,321960.0,50504.0,0.0,0.0,666.0,243.0,243.0,3.0,0.0,0.0,1.0
1900000.0,29.106962757,4.5933227305472104E-7,1900000.0,96.84157894736842,93.32307992423685,93.3282784935095,91.7581587498661,421960.0,18952.0,0.0,0.0,888.0,327.0,327.0,2.0,0.0,0.0,1.0
2000000.0,30.577143363,5.010445677550778E-7,2000000.0,96.8055,93.245829303353,93.25145079548167,91.66218607588989,521960.0,72136.0,0.0,0.0,1057.0,352.0,352.0,4.0,0.0,0.0,1.0
