"seed" "acc" "kappa"
"1" 1 96.52275 93.038698221213
"2" 2 92.8668 74.7934774028823
"3" 3 96.8055 93.245829303353
"4" 4 96.24445 92.3027615257787
"5" 5 91.2725 82.2160413631178
"6" 6 95.6894 84.5533052061072
"7" 7 89.68885 79.2669897431198
"8" 8 91.24305 74.9384645608434
"9" 9 98.5662 45.2318199528825
"10" 10 88.25425 76.042006466411
"11" 11 96.60195 93.1545479357653
"12" 12 86.3948 72.2895948733506
"13" 13 95.00385 88.7730662968196
"14" 14 92.0956 79.3880397318764
"15" 15 97.5424 50.2471527443694
"16" 16 97.42345 94.3536399411526
"17" 17 93.4081 84.6568489515069
"18" 18 97.7865 47.64941851999
"19" 19 92.3333 70.1634269869136
"20" 20 96.2123 90.8124938512459
