learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.733101335,1.890948614085921E-8,100000.0,87.64999999999999,74.78492182474986,74.7990042035669,71.49254420386869,100000.0,26744.0,168.0,41.0,41.0,3.0,0.0,0.0,1.0
200000.0,4.207943776,4.184173424653295E-8,200000.0,87.5425,74.60453768171503,74.62882629681677,71.29542155349202,200000.0,60104.0,252.0,15.0,15.0,3.0,0.0,0.0,1.0
300000.0,5.572472191,5.081652006549968E-8,300000.0,87.349,74.21676649833651,74.21338352097078,70.85895929790615,300000.0,25424.0,294.0,-66.0,-66.0,2.0,0.0,0.0,1.0
400000.0,6.898242295,5.976686544769341E-8,400000.0,87.644,74.80752752941981,74.83592743639484,71.53749582483904,400000.0,26096.0,388.0,-88.0,-88.0,2.0,0.0,0.0,1.0
500000.0,8.327294234,6.18016764072246E-8,500000.0,87.7996,75.122048845055,75.1526433054862,71.89145850900596,500000.0,5504.0,519.0,-91.0,-91.0,0.0,0.0,0.0,1.0
600000.0,9.645669952,6.496948572266019E-8,600000.0,87.68883333333333,74.90554630503088,74.93467889161109,71.60992520735168,600000.0,9288.0,588.0,-132.0,-132.0,1.0,0.0,0.0,1.0
700000.0,10.933494916,6.907136689971305E-8,700000.0,87.82985714285715,75.19387483349888,75.23445448995612,71.94489817424981,700000.0,12312.0,750.0,-94.0,-94.0,1.0,0.0,0.0,1.0
800000.0,12.220057306,7.521149979246574E-8,800000.0,87.77625,75.08147954613297,75.1392522200274,71.81811894085234,800000.0,18448.0,823.0,-136.0,-136.0,2.0,0.0,0.0,1.0
900000.0,13.517180856,8.51818602584344E-8,900000.0,87.883,75.29444540445004,75.34934922263864,72.05252596698675,900000.0,29712.0,926.0,-155.0,-155.0,3.0,0.0,0.0,1.0
1000000.0,14.832279001,8.699725726668414E-8,1000000.0,87.8436,75.2121500480972,75.27267105760977,71.94642395598714,1000000.0,5336.0,1067.0,-134.0,-134.0,0.0,0.0,0.0,1.0
1100000.0,16.165599581,9.512935023029855E-8,1100000.0,87.86327272727273,75.25218671147313,75.31310733021566,71.97760794594673,1100000.0,23576.0,1211.0,-114.0,-114.0,3.0,0.0,0.0,1.0
1200000.0,17.535939576,1.0789730807970592E-7,1200000.0,87.81891666666667,75.16621148908868,75.22949150072274,71.88542830710169,1200000.0,36016.0,1365.0,-84.0,-84.0,4.0,0.0,0.0,1.0
1300000.0,18.898952749,1.1217943406891701E-7,1300000.0,87.79184615384615,75.11184464252284,75.1659064414418,71.81736496109275,1300000.0,12144.0,1482.0,-86.0,-86.0,1.0,0.0,0.0,1.0
1400000.0,20.250684158,1.284779665317697E-7,1400000.0,87.75042857142857,75.02527708637066,75.06303529103839,71.71760150273022,1400000.0,46608.0,1608.0,-81.0,-81.0,4.0,0.0,0.0,1.0
1500000.0,21.579867955,1.430879241544795E-7,1500000.0,87.73106666666666,74.98698056150725,75.02069912832917,71.67369819283877,1500000.0,42488.0,1750.0,-65.0,-65.0,4.0,0.0,0.0,1.0
1600000.0,22.920279952,1.5083605343046084E-7,1600000.0,87.76712500000001,75.06243844476198,75.1057578571156,71.76294411190604,1600000.0,22344.0,1877.0,-64.0,-64.0,3.0,0.0,0.0,1.0
1700000.0,24.228336341,1.756255265842627E-7,1700000.0,87.70741176470588,74.94142927011299,74.98132344912793,71.6366982637871,1700000.0,73256.0,2022.0,-39.0,-39.0,4.0,0.0,0.0,1.0
1800000.0,25.57696008,1.8990210234701018E-7,1800000.0,87.76555555555555,75.05679698653705,75.10693325375509,71.77824482263686,1800000.0,40920.0,2131.0,-55.0,-55.0,3.0,0.0,0.0,1.0
1900000.0,26.944366046,2.0341531037794018E-7,1900000.0,87.76021052631579,75.04642500144465,75.09066955152579,71.76436877903319,1900000.0,38200.0,2264.0,-55.0,-55.0,3.0,0.0,0.0,1.0
2000000.0,28.229338175,2.068379397351999E-7,2000000.0,87.76635,75.05458603950792,75.09844172524657,71.77066063020561,2000000.0,10296.0,2353.0,-81.0,-81.0,1.0,0.0,0.0,1.0
