learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.594692254,6.610457608836392E-9,100000.0,80.7,39.26233635448139,45.786516853932596,15.35087719298247,100000.0,9848.0,96.0,-4.0,-4.0,1.0,0.0,0.0,1.0
200000.0,3.973755717,1.7270586968666564E-8,200000.0,93.30000000000001,79.91727114681375,79.3846153846154,67.31707317073172,200000.0,29880.0,194.0,-10.0,-10.0,3.0,0.0,0.0,1.0
300000.0,5.415203154,2.9227364242232098E-8,300000.0,91.9,75.38801852279495,75.67567567567568,58.883248730964475,300000.0,32064.0,255.0,-52.0,-52.0,3.0,0.0,0.0,1.0
400000.0,6.673652109,3.7668526565097276E-8,400000.0,91.60000000000001,76.1472058155384,76.27118644067798,61.81818181818183,400000.0,25928.0,345.0,-71.0,-71.0,3.0,0.0,0.0,1.0
500000.0,7.969375857,4.168293757651001E-8,500000.0,87.4,66.24101769935216,65.76086956521739,46.835443037974684,500000.0,11976.0,489.0,-48.0,-48.0,1.0,0.0,0.0,1.0
600000.0,9.302003606,4.781124471513762E-8,600000.0,90.8,75.47503785374592,75.4010695187166,61.98347107438018,600000.0,17776.0,550.0,-97.0,-97.0,2.0,0.0,0.0,1.0
700000.0,10.549019327,6.98979953075904E-8,700000.0,87.0,58.14633329684553,61.65191740412978,40.639269406392685,700000.0,68464.0,653.0,-99.0,-99.0,4.0,0.0,0.0,1.0
800000.0,11.779280139,7.360265056383692E-8,800000.0,93.0,79.19984786174437,79.59183673469389,68.46846846846849,800000.0,11640.0,735.0,-113.0,-113.0,1.0,0.0,0.0,1.0
900000.0,13.19123253,7.993210272521607E-8,900000.0,89.60000000000001,69.30215534290085,69.13946587537092,50.23923444976076,900000.0,17328.0,874.0,-86.0,-86.0,1.0,0.0,0.0,1.0
1000000.0,14.523594991,9.442258115423843E-8,1000000.0,86.7,55.4796813282453,61.56069364161849,36.66666666666665,1000000.0,42040.0,1005.0,-61.0,-61.0,4.0,0.0,0.0,1.0
1100000.0,15.773644706,1.0848093712332555E-7,1100000.0,88.3,65.00107688994184,67.59002770083103,49.35064935064935,1100000.0,43472.0,1120.0,-57.0,-57.0,3.0,0.0,0.0,1.0
1200000.0,17.044465545,1.2811461928476062E-7,1200000.0,80.0,40.04903988537377,43.66197183098593,12.663755458515297,1200000.0,59720.0,1238.0,-47.0,-47.0,4.0,0.0,0.0,1.0
1300000.0,18.344541736,1.3182232826440284E-7,1300000.0,93.30000000000001,78.53939782190905,78.38709677419357,66.50000000000001,1300000.0,11024.0,1283.0,-106.0,-106.0,1.0,0.0,0.0,1.0
1400000.0,19.617798283,1.400307863566838E-7,1400000.0,91.3,75.33454298026766,76.29427792915531,63.29113924050635,1400000.0,24920.0,1389.0,-109.0,-109.0,3.0,0.0,0.0,1.0
1500000.0,20.954643711,1.4405639734365666E-7,1500000.0,92.0,77.97502367684956,76.87861271676302,63.96396396396398,1500000.0,11640.0,1500.0,-119.0,-119.0,1.0,0.0,0.0,1.0
1600000.0,22.147546436,1.494384648478921E-7,1600000.0,90.7,71.6373484275502,70.09646302250805,52.79187817258884,1600000.0,17440.0,1588.0,-121.0,-121.0,2.0,0.0,0.0,1.0
1700000.0,23.422379057,1.592559545454714E-7,1700000.0,83.1,46.288503832903196,47.99999999999998,16.3366336633663,1700000.0,29768.0,1706.0,-102.0,-102.0,3.0,0.0,0.0,1.0
1800000.0,24.698546603,1.6309884766295138E-7,1800000.0,91.60000000000001,74.22980874836637,74.15384615384616,58.62068965517242,1800000.0,11640.0,1852.0,-68.0,-68.0,1.0,0.0,0.0,1.0
1900000.0,25.99158453,1.6493998980281667E-7,1900000.0,92.7,79.90088105726873,78.71720116618077,66.046511627907,1900000.0,5504.0,1963.0,-62.0,-62.0,0.0,0.0,0.0,1.0
2000000.0,27.284405739,1.7069794593049007E-7,2000000.0,94.39999999999999,83.52698926312692,82.71604938271602,75.11111111111109,2000000.0,17216.0,2068.0,-77.0,-77.0,2.0,0.0,0.0,1.0
