learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.647618386,6.4348509559738966E-9,10000.0,80.58999999999999,70.85721541489046,70.95615741433488,70.5194410692588,10000.0,38408.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.915955868,9.989664151991408E-9,20000.0,79.215,68.80243633984975,68.94052600119545,68.57186058819083,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.113548606,1.2607283081871769E-8,30000.0,79.02,68.51082571695949,68.69279745324313,68.28420256991686,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.321204687,1.6045842554600288E-8,40000.0,79.1075,68.64058822436338,68.74953257048837,68.40334228137169,40000.0,64008.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
50000.0,1.556559401,2.2281100367922335E-8,50000.0,79.63799999999999,69.44691545337479,69.55624663596674,69.31400325516908,50000.0,102408.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,1.79223004,2.922317926314142E-8,60000.0,80.07666666666667,70.10722174963536,70.18432145262264,69.99723916371758,60000.0,113864.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.990586363,3.506610161220655E-8,70000.0,80.41428571428571,70.61506915965766,70.68571062028268,70.5370382309329,70000.0,113864.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
80000.0,2.212899623,4.3745903106710566E-8,80000.0,80.67125,71.00392152060971,71.02082122978317,70.92546630565583,80000.0,150920.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.471242626,5.6488649294496416E-8,90000.0,80.90888888888888,71.36021248751008,71.36046938027135,71.27092146404267,90000.0,190664.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
100000.0,2.667811501,6.61843919833108E-8,100000.0,81.07,71.60354468166494,71.56248591644508,71.54068194118707,100000.0,190664.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
110000.0,2.842599554,7.480579751847933E-8,110000.0,81.27181818181818,71.90265607019992,71.86962339896769,71.78911331735706,110000.0,190664.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
120000.0,3.026775839,8.443535316099102E-8,120000.0,81.4375,72.15250738981817,72.12489050181453,72.04583103257869,120000.0,202104.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
130000.0,3.246655772,9.911028177851811E-8,130000.0,81.54307692307692,72.31186521393475,72.2856218813528,72.2137298499166,130000.0,257984.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
140000.0,3.42742407,1.1179740882599727E-7,140000.0,81.63785714285714,72.454010038391,72.402576489533,72.34527792420151,140000.0,271296.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
150000.0,3.612054467,1.263176696128419E-7,150000.0,81.758,72.6333453730167,72.60001001351826,72.50530038886265,150000.0,304000.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
160000.0,3.791755873,1.4090364939636446E-7,160000.0,81.86375,72.792616648802,72.79137365213315,72.68225636391024,160000.0,313752.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
170000.0,3.966901977,1.5618848603501707E-7,170000.0,81.93823529411765,72.9041467352695,72.89938217122682,72.79806516770319,170000.0,337336.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
180000.0,4.140118822,1.7295042977778445E-7,180000.0,82.01888888888888,73.02616435971676,73.0287828536191,72.93676940314732,180000.0,374056.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
190000.0,4.303488714,1.8897250820621017E-7,190000.0,82.15526315789474,73.23005144943963,73.22937228582708,73.12773933788273,190000.0,379096.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
200000.0,4.467377525,2.0504547826965025E-7,200000.0,82.2455,73.36560388939291,73.36918207862726,73.27457739376516,200000.0,379096.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
210000.0,4.637900149,2.222744160417653E-7,210000.0,82.32095238095238,73.47905480971896,73.48408016341223,73.39667798844893,210000.0,390552.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
220000.0,4.816417406,2.4151664928475805E-7,220000.0,82.35318181818182,73.52722466193408,73.53831263546765,73.44001204069207,220000.0,416656.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
230000.0,4.985211895,2.5971087309287857E-7,230000.0,82.41000000000001,73.6126664279251,73.60805777171822,73.53624155366734,230000.0,416656.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
240000.0,5.166697071,2.8033221574515305E-7,240000.0,82.49125000000001,73.73449546225245,73.73096446700508,73.66197624494657,240000.0,439216.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
250000.0,5.339650371,3.005568320007642E-7,250000.0,82.5236,73.78337437388913,73.7741228728353,73.72096380324554,250000.0,452016.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
260000.0,5.512255438,3.208157441131294E-7,260000.0,82.55692307692307,73.83375402957549,73.82702939784623,73.77375293478134,260000.0,453696.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
270000.0,5.69507989,3.4336573108869495E-7,270000.0,82.61925925925925,73.92703780353003,73.92396341531177,73.8718424114873,270000.0,476776.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
280000.0,5.866053718,3.649458842299402E-7,280000.0,82.65107142857143,73.97506091906855,73.96800728812197,73.93028684895484,280000.0,487896.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
290000.0,6.03386441,3.861997227821519E-7,290000.0,82.72068965517242,74.07990239059625,74.07334588878084,74.03949767904511,290000.0,489576.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
300000.0,6.225985345,4.133878129621574E-7,300000.0,82.75333333333333,74.1285077375006,74.13090541831036,74.08127279285056,300000.0,547024.0,87.0,44.0,44.0,7.0,0.0,0.0,1.0
310000.0,6.414366587,4.4246624222343786E-7,310000.0,82.76064516129033,74.1395534378804,74.14226062890404,74.09010913357349,310000.0,596672.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
320000.0,6.592867733,4.706487192408927E-7,320000.0,82.78875,74.1820446487929,74.17751667940381,74.14029486336744,320000.0,610296.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
330000.0,6.765843095,4.980564948009141E-7,330000.0,82.81515151515151,74.2216198107896,74.22014928765603,74.18059469771127,330000.0,612480.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
340000.0,6.949149585,5.281558820124323E-7,340000.0,82.85617647058824,74.2832774788347,74.28770561586613,74.24624003676017,340000.0,634720.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
350000.0,7.131398343,5.591765494250486E-7,350000.0,82.878,74.31586997900061,74.32312576856663,74.28257539020088,350000.0,657944.0,105.0,53.0,53.0,8.0,0.0,0.0,1.0
360000.0,7.322274538,5.940023504441087E-7,360000.0,82.87805555555555,74.31607550802697,74.32681774827044,74.28622680549994,360000.0,705264.0,113.0,57.0,57.0,8.0,0.0,0.0,1.0
370000.0,7.499236902,6.274534590750705E-7,370000.0,82.8891891891892,74.33283014436756,74.34546699678661,74.2970354912835,370000.0,730688.0,117.0,59.0,59.0,8.0,0.0,0.0,1.0
380000.0,7.689018595,6.65675797815685E-7,380000.0,82.92342105263157,74.38404645744151,74.40156846656357,74.34965985856758,380000.0,778512.0,125.0,63.0,63.0,8.0,0.0,0.0,1.0
390000.0,7.862387015,7.008034538426147E-7,390000.0,82.95974358974358,74.43827038614796,74.45435325773592,74.402400412908,390000.0,783216.0,125.0,63.0,63.0,8.0,0.0,0.0,1.0
400000.0,8.052450202,7.409292916874795E-7,400000.0,83.0055,74.50677700380594,74.52604992261656,74.47516343059691,400000.0,816072.0,131.0,66.0,66.0,8.0,0.0,0.0,1.0
