learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.640727951,1.6553842278663066E-7,100000.0,81.6,59.871589085072216,62.753036437246955,53.06122448979591,100000.0,390000.0,195.0,98.0,98.0,9.0,0.0,0.0,1.0
200000.0,2.469365549,3.1048968986795594E-7,200000.0,86.5,72.41001577738356,73.6328125,66.33416458852868,200000.0,676176.0,341.0,171.0,171.0,11.0,0.0,0.0,1.0
300000.0,3.104255214,4.5819057386104845E-7,300000.0,73.2,42.126630387837956,43.09978768577494,27.567567567567565,300000.0,899264.0,455.0,228.0,228.0,12.0,0.0,0.0,1.0
400000.0,3.687361351,6.336616779880391E-7,400000.0,76.9,52.418225261596774,51.47058823529412,39.05013192612138,400000.0,1163216.0,583.0,292.0,292.0,13.0,0.0,0.0,1.0
500000.0,4.310542736,8.699961710617153E-7,500000.0,79.9,56.99578087959676,58.21205821205822,47.92746113989639,500000.0,1465936.0,739.0,370.0,370.0,14.0,0.0,0.0,1.0
600000.0,4.927737696,1.14102689552988E-6,600000.0,73.9,41.00841703658835,44.70338983050847,31.853785900783286,600000.0,1697456.0,853.0,427.0,427.0,14.0,0.0,0.0,1.0
700000.0,5.535422665,1.4432458429563354E-6,700000.0,69.0,28.841960289222985,34.73684210526314,19.060052219321136,700000.0,1922408.0,969.0,485.0,485.0,14.0,0.0,0.0,1.0
800000.0,6.147038398,1.7804786585845735E-6,800000.0,71.1,38.855648553269624,40.657084188911696,22.102425876010773,800000.0,2131344.0,1079.0,540.0,540.0,14.0,0.0,0.0,1.0
900000.0,6.734633928,2.1296329980863317E-6,900000.0,67.7,32.47142056715644,24.708624708624725,10.526315789473694,900000.0,2296896.0,1161.0,581.0,581.0,15.0,0.0,0.0,1.0
1000000.0,7.477107258,2.617542819551943E-6,1000000.0,72.8,38.010784300319514,40.74074074074073,27.077747989276133,1000000.0,2540160.0,1279.0,640.0,640.0,15.0,3840.975,0.0,1.033331380704118
1100000.0,8.114943896,3.0772282792383116E-6,1100000.0,64.0,24.349404881985066,24.210526315789473,9.090909090909099,1100000.0,2785824.0,1405.0,703.0,703.0,15.0,3840.975,0.0,1.033331380704118
1200000.0,8.741577533,3.5634406759850115E-6,1200000.0,80.0,57.31384568101491,58.50622406639005,48.186528497409334,1200000.0,2999264.0,1509.0,755.0,755.0,15.0,3840.975,0.0,1.033331380704118
1300000.0,9.360850909,4.06702855226867E-6,1300000.0,74.3,45.87969709477159,48.2897384305835,35.26448362720403,1300000.0,3143368.0,1585.0,793.0,793.0,15.0,3840.975,0.0,1.033331380704118
1400000.0,10.029037903,4.64862930162384E-6,1400000.0,73.8,43.64403680775734,46.090534979423865,32.992327365728904,1400000.0,3364568.0,1699.0,850.0,850.0,15.0,3840.975,0.0,1.033331380704118
1500000.0,10.678462051,5.249580457539721E-6,1500000.0,81.39999999999999,61.11845075839925,63.24110671936758,53.26633165829144,1500000.0,3576952.0,1807.0,904.0,904.0,15.0,3840.975,0.0,1.033331380704118
1600000.0,11.321804419,5.878087880600059E-6,1600000.0,65.0,20.91181893777795,29.718875502008036,10.714285714285724,1600000.0,3776336.0,1899.0,950.0,950.0,16.0,3840.975,0.0,1.033331380704118
1700000.0,11.945499344,6.509374246915255E-6,1700000.0,79.7,54.654300469986964,58.57142857142858,46.010638297872354,1700000.0,3912520.0,1969.0,985.0,985.0,16.0,3840.975,0.0,1.033331380704118
1800000.0,12.579230988,7.1744029199192505E-6,1800000.0,73.2,43.520922547796474,43.220338983050844,31.632653061224485,1800000.0,4056368.0,2045.0,1023.0,1023.0,16.0,3840.975,0.0,1.033331380704118
1900000.0,13.233225809,7.892526001192387E-6,1900000.0,66.8,23.888473688795564,27.51091703056769,5.949008498583575,1900000.0,4244504.0,2135.0,1068.0,1068.0,16.0,3840.975,0.0,1.033331380704118
2000000.0,14.011937557,8.780190421634472E-6,2000000.0,52.900000000000006,-0.10626992561104036,0.8421052631578956,-25.599999999999994,2000000.0,4406304.0,2223.0,1112.0,1112.0,17.0,3834.4892086330933,0.0,1.0333849912006514
