"seed" "acc" "kappa"
"1" 1 84.521 76.783
"2" 2 84.474 76.712
"3" 3 84.416 76.625
"4" 4 84.465 76.699
"5" 5 84.262 76.395
"6" 6 84.368 76.554
"7" 7 84.271 76.408
"8" 8 84.243 76.367
"9" 9 84.478 76.719
"10" 10 84.326 76.491
"11" 11 84.371 76.558
"12" 12 84.416 76.627
"13" 13 84.498 76.749
"14" 14 84.415 76.624
"15" 15 84.229 76.345
"16" 16 84.328 76.494
"17" 17 84.358 76.539
"18" 18 84.456 76.685
"19" 19 84.451 76.679
"20" 20 84.459 76.69
