learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.834647207,5.386419031045089E-8,100000.0,98.662,51.846293368432214,63.18106769400128,28.257372654155994,57817.0,84288.0,75.0,119.0,43.0,22.0,22.0,7.0,0.0,0.0,1.0
200000.0,2.754022133,6.067030419244535E-8,200000.0,98.5235,45.14769895024302,59.81219379422964,21.44187283852076,370.0,4008.0,35.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300000.0,3.70649677,6.772145456190118E-8,300000.0,98.669,51.462243925674386,64.02378592665995,29.589137718215436,130.0,4008.0,162.0,207.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400000.0,4.51161698,1.1392577130853096E-7,400000.0,98.61175,47.76582029783823,62.229628621956124,25.94025073352888,94790.0,123408.0,12.0,21.0,63.0,32.0,32.0,7.0,0.0,0.0,1.0
500000.0,5.293536878,2.1464825885134645E-7,500000.0,98.5282,42.8956980039621,59.729670570209045,21.06618041402999,194790.0,267144.0,0.0,0.0,137.0,69.0,69.0,8.0,0.0,0.0,1.0
600000.0,6.096173954,3.661809803436469E-7,600000.0,98.48083333333332,39.64971979655102,58.176562356611825,17.978943579591174,294790.0,376136.0,0.0,0.0,193.0,97.0,97.0,9.0,0.0,0.0,1.0
700000.0,6.886192358,5.680528106652221E-7,700000.0,98.42014285714285,36.61236112355297,56.78389996092219,15.230722060401828,394790.0,502264.0,0.0,0.0,263.0,132.0,132.0,10.0,0.0,0.0,1.0
800000.0,7.69577094,8.2834640175159E-7,800000.0,98.38525,34.09636573499476,55.71781160016456,13.132943312487692,494790.0,630488.0,0.0,0.0,325.0,163.0,163.0,11.0,0.0,0.0,1.0
900000.0,8.550030378,1.1690538700281851E-6,900000.0,98.355,32.01381679336271,54.895807945405906,11.574986561548165,594790.0,787688.0,0.0,0.0,407.0,204.0,204.0,11.0,0.0,0.0,1.0
1000000.0,9.375823707,1.5412304668878912E-6,1000000.0,98.3388,30.24101791468125,54.35511348024416,10.486043754714986,694790.0,893584.0,0.0,0.0,459.0,230.0,230.0,12.0,0.0,0.0,1.0
1100000.0,10.233291209,1.9754142338329E-6,1100000.0,98.33427272727273,29.13644606386101,54.03852907239259,9.849938499385228,794790.0,999512.0,0.0,0.0,519.0,260.0,260.0,13.0,0.0,0.0,1.0
1200000.0,11.130196896,2.5009903505926023E-6,1200000.0,98.31483333333333,28.064504553786268,53.60011013721251,8.971415710105765,894790.0,1142512.0,0.0,0.0,593.0,297.0,297.0,13.0,0.0,0.0,1.0
1300000.0,12.029875674,3.0890968429847003E-6,1300000.0,98.29738461538462,26.6585257013369,53.157538305257034,8.085212408122898,994790.0,1263016.0,0.0,0.0,653.0,327.0,327.0,13.0,0.0,0.0,1.0
1400000.0,13.012642219,3.7851393343781334E-6,1400000.0,98.29114285714286,25.604097183075513,52.91848703113313,7.643607164916539,1094790.0,1375624.0,0.0,0.0,711.0,356.0,356.0,13.0,3730.7393939393937,0.0,1.0343225487838954
1500000.0,14.011657688,4.574489292489175E-6,1500000.0,98.286,24.69598720876444,52.723327571622825,7.257773609407534,1194790.0,1539312.0,0.0,0.0,801.0,401.0,401.0,13.0,3730.7393939393937,0.0,1.0343225487838954
1600000.0,14.988148864,5.40366961752582E-6,1600000.0,98.279125,23.785371195491933,52.46694057935986,6.733961113745861,1294790.0,1648912.0,0.0,0.0,857.0,429.0,429.0,13.0,3730.7393939393937,0.0,1.0343225487838954
1700000.0,15.978775691,6.307072807488922E-6,1700000.0,98.27123529411764,22.96130527173373,52.217669820830345,6.225271218889591,1394790.0,1770592.0,0.0,0.0,923.0,462.0,462.0,14.0,3730.7393939393937,0.0,1.0343225487838954
1800000.0,16.950514285,7.2483373248632875E-6,1800000.0,98.26444444444445,22.172407107790292,52.03881110292312,5.886606013134932,1494790.0,1883120.0,0.0,0.0,979.0,490.0,490.0,14.0,3730.7393939393937,0.0,1.0343225487838954
1900000.0,17.947531394,8.269148241632575E-6,1900000.0,98.25936842105263,21.464251025888935,51.88547486033514,5.576017130620749,1594790.0,2001392.0,0.0,0.0,1037.0,519.0,519.0,14.0,3730.7393939393937,0.0,1.0343225487838954
2000000.0,18.983850802,9.405032666497093E-6,2000000.0,98.25574999999999,20.874869779927064,51.780333397838106,5.360679308754445,1694790.0,2140704.0,0.0,0.0,1107.0,554.0,554.0,14.0,3730.7393939393937,0.0,1.0343225487838954
