learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.770425745,7.499665175999204E-9,100000.0,93.89999999999999,86.08614727699057,85.61320754716981,81.34556574923546,100000.0,10464.0,161.0,30.0,30.0,1.0,0.0,0.0,1.0
200000.0,4.260433706,2.7408219606255497E-8,200000.0,96.7,92.5666970005496,92.56756756756755,90.23668639053254,200000.0,51648.0,347.0,83.0,83.0,4.0,0.0,0.0,1.0
300000.0,5.728880854,4.5560803441703323E-8,300000.0,91.8,81.10990808357714,82.36559139784947,75.22658610271904,300000.0,47784.0,539.0,134.0,134.0,5.0,0.0,0.0,1.0
400000.0,7.139266368,5.469417273788403E-8,400000.0,93.7,85.697810629932,85.24590163934428,80.85106382978725,400000.0,25032.0,653.0,125.0,125.0,3.0,0.0,0.0,1.0
500000.0,8.485262091,6.466969442667441E-8,500000.0,95.0,88.25270775086341,88.73873873873873,84.12698412698411,500000.0,28648.0,824.0,166.0,166.0,3.0,0.0,0.0,1.0
600000.0,9.829242434,8.677713119572444E-8,600000.0,95.3,88.78859585512002,88.59223300970874,84.98402555910542,600000.0,63584.0,1033.0,244.0,244.0,4.0,0.0,0.0,1.0
700000.0,11.307264959,1.045770092188236E-7,700000.0,93.7,84.59190561441613,84.28927680798006,78.35051546391755,700000.0,46552.0,1137.0,237.0,237.0,5.0,0.0,0.0,1.0
800000.0,12.798072178,1.2345955409620372E-7,800000.0,92.30000000000001,81.29015327495215,83.1140350877193,75.24115755627011,800000.0,48960.0,1250.0,227.0,227.0,4.0,0.0,0.0,1.0
900000.0,14.284905354,1.303616204945495E-7,900000.0,93.60000000000001,85.11953200928171,84.57831325301206,79.28802588996766,900000.0,17944.0,1389.0,233.0,233.0,2.0,0.0,0.0,1.0
1000000.0,15.732298715,1.4496484670190142E-7,1000000.0,94.3,86.77432827509396,86.74418604651162,82.7272727272727,1000000.0,39000.0,1593.0,302.0,302.0,5.0,0.0,0.0,1.0
1100000.0,17.124129574,1.5574383153163932E-7,1100000.0,90.2,76.64709470794571,76.99530516431926,68.78980891719746,1100000.0,29936.0,1778.0,366.0,366.0,3.0,0.0,0.0,1.0
1200000.0,18.521058525,1.59707518868376E-7,1200000.0,92.30000000000001,80.93398702520676,81.83962264150945,75.16129032258067,1200000.0,10968.0,1964.0,415.0,415.0,1.0,0.0,0.0,1.0
1300000.0,19.875997713,1.683836824053319E-7,1300000.0,95.1,89.04469763365468,88.91402714932126,85.75581395348836,1300000.0,24752.0,2080.0,414.0,414.0,3.0,0.0,0.0,1.0
1400000.0,21.205154392,1.7027625362933926E-7,1400000.0,95.0,87.89205525097347,88.47926267281106,84.0764331210191,1400000.0,5504.0,2250.0,454.0,454.0,0.0,0.0,0.0,1.0
1500000.0,22.555074211,1.7845091763993107E-7,1500000.0,94.8,88.50899833822436,88.9830508474576,85.63535911602209,1500000.0,23408.0,2392.0,476.0,476.0,3.0,0.0,0.0,1.0
1600000.0,23.851938705,1.8464021743521925E-7,1600000.0,92.7,82.40607737469755,82.36714975845412,77.32919254658385,1600000.0,18448.0,2486.0,454.0,454.0,2.0,0.0,0.0,1.0
1700000.0,25.215189209,1.9551385851392319E-7,1700000.0,95.7,89.73688230352096,89.25,86.03896103896102,1700000.0,30832.0,2602.0,460.0,460.0,3.0,0.0,0.0,1.0
1800000.0,26.557163102,2.0186011890904154E-7,1800000.0,97.0,92.91333002622068,92.97423887587821,90.41533546325877,1800000.0,18280.0,2816.0,540.0,540.0,2.0,0.0,0.0,1.0
1900000.0,27.942980666,2.061536585600033E-7,1900000.0,97.8,94.97918644562915,94.89559164733178,93.37349397590361,1900000.0,11976.0,2994.0,588.0,588.0,1.0,0.0,0.0,1.0
2000000.0,29.314019896,2.1908703203263593E-7,2000000.0,94.0,85.50689630184303,86.42533936651581,81.07255520504731,2000000.0,36464.0,3153.0,630.0,630.0,4.0,0.0,0.0,1.0
