learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.703908669,2.4465820650400387E-8,100000.0,92.033,77.23505459617961,76.78342464156661,63.72865923059412,1864.0,5672.0,70.0,325.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200000.0,4.406615568,4.779072616114592E-8,200000.0,92.06400000000001,77.171697333603,76.73170803219328,63.57377274917953,3294.0,23240.0,40.0,263.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
300000.0,5.967273319,7.224464892134484E-8,300000.0,92.02266666666667,77.19714804170299,76.61680361906063,63.45478422869009,3193.0,30216.0,54.0,272.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
400000.0,7.457600294,8.388204950186321E-8,400000.0,91.89775,76.8737861727615,76.24112955251891,62.89498992489467,699.0,5504.0,51.0,272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500000.0,8.81543288,1.0069253482813844E-7,500000.0,91.99619999999999,77.0884207665157,76.51384438419191,63.25936670859228,1387.0,11976.0,65.0,231.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600000.0,10.399872412,1.2017077564443357E-7,600000.0,91.92683333333333,76.95015750166897,76.34352412580583,62.99343738779003,1758.0,17272.0,26.0,171.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
700000.0,11.900150624,1.4367861231877777E-7,700000.0,91.81771428571427,76.62834313418743,76.03895614923148,62.505891594658266,11667.0,24080.0,57.0,304.0,3.0,-13.0,-13.0,2.0,0.0,0.0,1.0
800000.0,13.405268833,1.623125498362444E-7,800000.0,91.904,76.87253581974645,76.30097989710714,62.92637134303752,19015.0,18280.0,46.0,266.0,8.0,-9.0,-9.0,2.0,0.0,0.0,1.0
900000.0,15.839661661,2.23159293700885E-7,900000.0,91.75333333333333,76.47976636356992,75.85980341774705,62.23650267885762,119015.0,47224.0,0.0,2.0,64.0,-52.0,-52.0,4.0,0.0,0.0,1.0
1000000.0,18.317174427,2.51965445977141E-7,1000000.0,91.5844,76.00203413506709,75.36950426429871,61.474088994689616,219015.0,10016.0,0.0,0.0,130.0,-76.0,-76.0,1.0,0.0,0.0,1.0
1100000.0,20.83234894,3.1831372371876606E-7,1100000.0,91.53836363636364,75.85294042651203,75.26225286305444,61.28058038778492,319015.0,42240.0,0.0,0.0,272.0,-50.0,-50.0,4.0,0.0,0.0,1.0
1200000.0,23.338266734,3.797657398312766E-7,1200000.0,91.52041666666668,75.79247688766625,75.2135669517474,61.2048587811871,419015.0,58320.0,0.0,0.0,386.0,-65.0,-65.0,5.0,0.0,0.0,1.0
1300000.0,25.819810702,4.10308447062785E-7,1300000.0,91.45092307692308,75.57311289373007,75.00590342668619,60.890174508830995,519015.0,10856.0,0.0,0.0,441.0,-115.0,-115.0,1.0,0.0,0.0,1.0
1400000.0,28.26719278,4.559603371291628E-7,1400000.0,91.419,75.4835267195495,74.90935672514618,60.737315140125816,619015.0,11472.0,0.0,0.0,551.0,-113.0,-113.0,1.0,0.0,0.0,1.0
1500000.0,30.792182266,5.381872409531123E-7,1500000.0,91.39500000000001,75.43571921232538,74.8490847658427,60.648705667866864,719015.0,55096.0,0.0,0.0,645.0,-124.0,-124.0,4.0,0.0,0.0,1.0
1600000.0,33.237162597,5.768163900333747E-7,1600000.0,91.33431250000001,75.24024436764049,74.67302591680611,60.35031027481486,819015.0,17776.0,0.0,0.0,765.0,-121.0,-121.0,2.0,0.0,0.0,1.0
1700000.0,35.708887063,6.248764664647873E-7,1700000.0,91.323,75.18098738980797,74.63170928852735,60.288970968297704,919015.0,9904.0,0.0,0.0,795.0,-193.0,-193.0,1.0,0.0,0.0,1.0
1800000.0,38.091834259,6.467488271675156E-7,1800000.0,91.29577777777777,75.09593799918751,74.54616346888048,60.151483166700146,1019015.0,5336.0,0.0,0.0,897.0,-200.0,-200.0,0.0,0.0,0.0,1.0
1900000.0,40.608788604,6.87062076157733E-7,1900000.0,91.25473684210526,74.96557337341277,74.41700770137984,59.951795613400826,1119015.0,18280.0,0.0,0.0,944.0,-254.0,-254.0,2.0,0.0,0.0,1.0
2000000.0,43.146269188,7.107939857653653E-7,2000000.0,91.24305,74.93846456084337,74.38065006875165,59.88322686011277,1219015.0,5672.0,0.0,0.0,987.0,-313.0,-313.0,0.0,0.0,0.0,1.0
