"seed" "acc" "kappa"
"1" 1 96.6 93.1907121313472
"2" 2 95.3 82.198318309219
"3" 3 98 95.7559681697613
"4" 4 96.3 92.4689599023
"5" 5 91.9 83.4006869246596
"6" 6 95.7 84.938704028021
"7" 7 91.9 83.6938141175334
"8" 8 94.4 83.5269892631269
"9" 9 99.2 77.3819621147866
"10" 10 91.6 83.0011130223616
"11" 11 98.1 96.1491065927295
"12" 12 87.5 74.5552253389244
"13" 13 98.4 96.3874137495033
"14" 14 94.1 84.1199776064769
"15" 15 96.3 12.1891019555725
"16" 16 98.8 97.3412858427902
"17" 17 94 85.506896301843
"18" 18 97.6 50.7773083391444
"19" 19 85.5 33.1328857079613
"20" 20 96.7 91.5002781727143
