learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.770008693,4.447526286106557E-8,100000.0,96.341,86.95315269858786,87.1021185096408,78.47393811036592,2556.0,31760.0,54.0,214.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
200000.0,4.272398602,6.760264350191586E-8,200000.0,96.2405,86.6105457816665,86.77187241603771,77.9566109645265,1955.0,29936.0,64.0,237.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
300000.0,5.620869084,7.789791290862278E-8,300000.0,96.22533333333332,86.52020339927448,86.71188350015841,77.89792134283202,53.0,4832.0,57.0,169.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400000.0,6.90030302,8.777731658425182E-8,400000.0,96.24675,86.58340740807058,86.78095640612482,78.06079205027036,201.0,5168.0,68.0,183.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
500000.0,8.219037427,1.1904372227966372E-7,500000.0,96.2662,86.65199432414241,86.85550134127537,78.1988252192496,4144.0,61288.0,77.0,294.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
600000.0,9.571653317,1.4705993317991082E-7,600000.0,96.29116666666667,86.74507564635346,86.93704799474033,78.33456655502769,12041.0,48792.0,58.0,211.0,16.0,5.0,5.0,3.0,0.0,0.0,1.0
700000.0,10.897613645,1.6608832055250392E-7,700000.0,96.31342857142857,86.83940510721541,87.02179128047032,78.47562806525875,2958.0,25256.0,62.0,175.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
800000.0,12.362219561,1.7746122080345536E-7,800000.0,96.322875,86.87777558735762,87.05983785757331,78.54136424314484,704.0,5336.0,47.0,191.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900000.0,13.586212298,2.0014840212178314E-7,900000.0,96.333,86.90202274522429,87.08413724009189,78.57101116154041,4800.0,42096.0,69.0,184.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
1000000.0,14.861486906,2.2057406574390417E-7,1000000.0,96.32650000000001,86.85214056115905,87.04767344693725,78.51264323442192,4938.0,31560.0,65.0,206.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
1100000.0,16.459533997,2.662317205360884E-7,1100000.0,96.27972727272727,86.68465733626297,86.88621775870745,78.2472571865964,21382.0,47896.0,32.0,154.0,22.0,-3.0,-3.0,3.0,0.0,0.0,1.0
1200000.0,17.823273316,2.82937522099966E-7,1200000.0,96.13833333333334,86.17263698967179,86.38840341317982,77.42793402760867,121382.0,17104.0,0.0,19.0,163.0,21.0,21.0,2.0,0.0,0.0,1.0
1300000.0,19.144271401,3.058288452146182E-7,1300000.0,96.07992307692308,85.96621407822751,86.19133940837446,77.10430903184937,221382.0,36408.0,0.0,0.0,332.0,63.0,63.0,3.0,0.0,0.0,1.0
1400000.0,20.444259433,3.2413744367537196E-7,1400000.0,96.0095,85.71682148858632,85.94834286174209,76.70509746690297,321382.0,24136.0,0.0,0.0,481.0,82.0,82.0,2.0,0.0,0.0,1.0
1500000.0,21.788389245,3.522477221357968E-7,1500000.0,95.94253333333333,85.47829071886703,85.71954827765018,76.3283276742549,421382.0,49912.0,0.0,0.0,595.0,81.0,81.0,4.0,0.0,0.0,1.0
1600000.0,23.138622097,3.779818088307543E-7,1600000.0,95.88481250000001,85.27249853303846,85.51911306409437,75.99135086254365,521382.0,42880.0,0.0,0.0,772.0,143.0,143.0,5.0,0.0,0.0,1.0
1700000.0,24.506028807,3.9281097084312607E-7,1700000.0,95.82823529411765,85.05989995487138,85.3210553440921,75.66916653515482,621382.0,11808.0,0.0,0.0,890.0,129.0,129.0,1.0,0.0,0.0,1.0
1800000.0,25.814170483,4.115267949599505E-7,1800000.0,95.78066666666668,84.89770010658276,85.14827670496213,75.38000719655345,721382.0,24920.0,0.0,0.0,1028.0,138.0,138.0,2.0,0.0,0.0,1.0
1900000.0,27.099178078,4.3540341849591387E-7,1900000.0,95.7411052631579,84.74888230492058,85.00269665670172,75.13436275639552,821382.0,41032.0,0.0,0.0,1137.0,130.0,130.0,5.0,0.0,0.0,1.0
2000000.0,28.408355031,4.6103780983754755E-7,2000000.0,95.6894,84.55330520610715,84.82020076099722,74.83551959462223,921382.0,44896.0,0.0,0.0,1281.0,151.0,151.0,5.0,0.0,0.0,1.0
