learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.670018488,8.876100889692704E-9,10000.0,79.65,69.5023743637948,69.68568449277521,69.28301886792453,10000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.918103481,1.2162618301562551E-8,20000.0,79.31,68.984676353936,68.98748407404632,68.78865590586815,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.125392303,1.490868655240991E-8,30000.0,79.28,68.93278353822967,69.02222665204822,68.76852735768476,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.384138695,2.0816891297778736E-8,40000.0,79.455,69.1967311775781,69.32208451545469,69.02491425125325,40000.0,88264.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
50000.0,1.648298878,2.775788877947256E-8,50000.0,79.974,69.96932593231165,70.08723188146023,69.84308646809023,50000.0,101568.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,1.904730477,3.616012598320635E-8,60000.0,80.445,70.67243048988693,70.74721384227979,70.53934615577764,60000.0,126656.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,2.121872853,4.474185126786224E-8,70000.0,80.58857142857143,70.88492042753496,70.93786760774249,70.79042971688988,70000.0,152768.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
80000.0,2.303877926,5.1974459762258664E-8,80000.0,80.84625,71.27251566588984,71.30524344569288,71.16810296165279,80000.0,153608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.504302269,6.060270139468835E-8,90000.0,81.03333333333333,71.55169820557101,71.60631414361515,71.45007526342198,90000.0,166408.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,2.690917155,6.918951366329567E-8,100000.0,81.20100000000001,71.8002276234504,71.86747078101851,71.68185584092791,100000.0,177864.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,2.902479,8.027936845455941E-8,110000.0,81.41454545454545,72.12046613732643,72.1744337979094,71.99873991590309,110000.0,202624.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
120000.0,3.108895862,9.175571004974554E-8,120000.0,81.58666666666666,72.37808916224475,72.43306634728147,72.26733605271414,120000.0,214912.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,3.317527656,1.0335519718641417E-7,130000.0,81.73692307692308,72.60423521229401,72.64652004101524,72.49281675780887,130000.0,214912.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
140000.0,3.521368129,1.1685544014917067E-7,140000.0,81.85928571428572,72.78833030621014,72.82551707165709,72.69844341245269,140000.0,256008.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,3.691951073,1.284792636081204E-7,150000.0,81.96933333333334,72.95285691200111,72.97021786927843,72.86363590757223,150000.0,263400.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,3.865427648,1.408973279509321E-7,160000.0,82.079375,73.11857982887501,73.14231118687886,73.00399201596807,160000.0,276704.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
170000.0,4.05457978,1.5671272946861468E-7,170000.0,82.14294117647059,73.21449156420383,73.23086690828285,73.10469474001292,170000.0,323200.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,4.228036304,1.7246254920565005E-7,180000.0,82.27388888888889,73.41050695961621,73.42102194158907,73.28929964672595,180000.0,350984.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
190000.0,4.403046004,1.8934437917626978E-7,190000.0,82.34368421052632,73.51503013235116,73.52980628871266,73.39144642913797,190000.0,372872.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
200000.0,4.570184631,2.0602040540517408E-7,200000.0,82.432,73.64768056970122,73.65879989204427,73.52243012486718,200000.0,385672.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
210000.0,4.750795582,2.262209514370788E-7,210000.0,82.4852380952381,73.72655840374364,73.74304866470115,73.59981625167778,210000.0,432336.0,69.0,35.0,35.0,6.0,0.0,0.0,1.0
220000.0,4.925172576,2.4693143908981025E-7,220000.0,82.54454545454546,73.81529991229718,73.84594428931418,73.69455766003358,220000.0,459096.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
230000.0,5.094165703,2.675760817248084E-7,230000.0,82.61739130434783,73.92459472367848,73.95253080025279,73.81502852314927,230000.0,472216.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
240000.0,5.258392622,2.876741598397369E-7,240000.0,82.68541666666667,74.02657615062456,74.07333462275157,73.92741965843068,240000.0,473056.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
250000.0,5.423349267,3.079550840574503E-7,250000.0,82.7372,74.10398551639982,74.14370532798917,73.99695123788177,250000.0,475248.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
