"seed" "acc" "kappa"
"1" 1 83.8042 75.7071683030803
"2" 2 83.7313 75.5967623000447
"3" 3 83.7875 75.6792025048753
"4" 4 83.7961 75.6960419534137
"5" 5 83.7144 75.5712869823438
"6" 6 83.8406 75.7607127313388
"7" 7 83.7784 75.6668833688617
"8" 8 83.8968 75.845067538964
"9" 9 83.8282 75.7427828950067
"10" 10 83.9 75.8495506621493
"11" 11 83.7407 75.6105013093504
"12" 12 83.7414 75.6123821191584
"13" 13 83.8943 75.8415733250357
"14" 14 83.8576 75.7855038464383
"15" 15 83.8748 75.8120830444433
"16" 16 83.8876 75.8315398544441
"17" 17 83.7386 75.607973527849
"18" 18 83.7614 75.6427618384802
"19" 19 83.75 75.6257100817952
"20" 20 83.8226 75.7343092244228
