learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.925953284,1.493034684749941E-8,10000.0,79.19,68.81049009481266,69.00044689408611,68.58867924528302,10000.0,62328.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.437141852,2.7392043376374576E-8,20000.0,78.455,67.69797315538896,67.70591321292063,67.49886860763311,20000.0,94232.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
30000.0,1.948875652,4.382378128898641E-8,30000.0,79.25,68.88455897463739,68.97737466361008,68.72330804401346,30000.0,124120.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
40000.0,2.402677054,6.265360115678361E-8,40000.0,79.975,69.96803597962764,70.09855159026431,69.80890279295917,40000.0,160392.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
50000.0,2.928195596,8.854539196662192E-8,50000.0,80.54599999999999,70.82231455005389,70.94162633685845,70.70445441676955,50000.0,190448.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
60000.0,3.415200106,1.1497272190299714E-7,60000.0,81.00833333333334,71.51430346505475,71.58991747488096,71.38803796514841,60000.0,209760.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,3.906620421,1.4580244625910497E-7,70000.0,81.18142857142857,71.77297647603554,71.82547321142124,71.68253831767665,70000.0,242504.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
80000.0,4.363508447,1.7833600542615065E-7,80000.0,81.4275,72.14285610145512,72.1760299625468,72.04305121740111,80000.0,275248.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
90000.0,4.81159355,2.152059641420241E-7,90000.0,81.51666666666667,72.27578174594306,72.32987907317154,72.17762167586554,90000.0,318064.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
100000.0,5.242677584,2.5419485937995423E-7,100000.0,81.671,72.5052664790248,72.57082142376129,72.38984710401446,100000.0,349608.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
110000.0,5.681416919,2.989837275220599E-7,110000.0,81.80636363636363,72.70806626782567,72.76105182926828,72.58906192217611,110000.0,394608.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
120000.0,6.141598226,3.4963965245802164E-7,120000.0,81.91583333333334,72.87181411004808,72.9258677046685,72.76310009413241,120000.0,425504.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
130000.0,6.599526379,4.039901140996462E-7,130000.0,81.97461538461538,72.96063208790198,73.00252312867956,72.85082027991471,130000.0,458784.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
140000.0,7.085749003,4.641480905398375E-7,140000.0,82.02857142857142,73.0420997737166,73.07910420612247,72.953216374269,140000.0,478256.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
150000.0,7.580022104,5.194825485689276E-7,150000.0,82.08466666666666,73.12563963600299,73.14311413152107,73.03721392236146,150000.0,432744.0,52.0,20.0,20.0,6.0,0.0,0.0,1.0
160000.0,8.076061267,5.772126816804997E-7,160000.0,82.188125,73.281381536527,73.30529510392567,73.16781531277068,160000.0,449872.0,54.0,21.0,21.0,7.0,0.0,0.0,1.0
170000.0,8.59721353,6.450618166163481E-7,170000.0,82.26235294117647,73.39331685750967,73.40987451831082,73.28454607472247,170000.0,503248.0,62.0,25.0,25.0,7.0,0.0,0.0,1.0
180000.0,9.113593857,7.188536682550527E-7,180000.0,82.34166666666667,73.51184251365275,73.52264965096714,73.39143101110052,180000.0,552384.0,70.0,29.0,29.0,7.0,0.0,0.0,1.0
190000.0,9.64853321,8.040205919738508E-7,190000.0,82.3921052631579,73.58742279613075,73.60239870596126,73.46441828738223,190000.0,615416.0,76.0,32.0,32.0,7.0,0.0,0.0,1.0
200000.0,10.191620069,8.974218462238793E-7,200000.0,82.47,73.70446065449335,73.71577653162204,73.57970173548051,200000.0,664792.0,82.0,35.0,35.0,7.0,0.0,0.0,1.0
210000.0,10.729540206,9.92927020044507E-7,210000.0,82.55952380952381,73.8377971703723,73.85441280402051,73.71178788553053,210000.0,686296.0,84.0,36.0,36.0,7.0,0.0,0.0,1.0
220000.0,11.26067866,1.0899048050440249E-6,220000.0,82.61681818181819,73.92353535142416,73.95423278621537,73.80347295955065,220000.0,705776.0,86.0,37.0,37.0,7.0,0.0,0.0,1.0
230000.0,11.802321226,1.192516551194491E-6,230000.0,82.66086956521738,73.9897128813659,74.01768204887645,73.88052369942953,230000.0,732296.0,90.0,39.0,39.0,7.0,0.0,0.0,1.0
240000.0,12.324122909,1.2927086368142813E-6,240000.0,82.72749999999999,74.08962614491482,74.13634974014062,73.99078942415078,240000.0,742216.0,90.0,39.0,39.0,7.0,0.0,0.0,1.0
250000.0,12.861427181,1.3983749725655962E-6,250000.0,82.7892,74.18194741634235,74.22159114737794,74.07527911838957,250000.0,760184.0,92.0,40.0,40.0,7.0,0.0,0.0,1.0
260000.0,13.410218881,1.5110207393964959E-6,260000.0,82.84692307692308,74.26813469797368,74.30235841174537,74.16091634366363,260000.0,793432.0,96.0,42.0,42.0,7.0,0.0,0.0,1.0
270000.0,13.958364788,1.6275578294614164E-6,270000.0,82.89037037037036,74.33336035282531,74.36617373692535,74.24024446005777,270000.0,821808.0,100.0,44.0,44.0,8.0,0.0,0.0,1.0
280000.0,14.513847742,1.7536113867936862E-6,280000.0,82.90535714285714,74.35587763889254,74.38305797729717,74.27470413088109,280000.0,877176.0,108.0,48.0,48.0,8.0,0.0,0.0,1.0
290000.0,15.042104644,1.8777777812201612E-6,290000.0,82.9106896551724,74.36455839906077,74.38175878254036,74.29539112664806,290000.0,908576.0,112.0,50.0,50.0,8.0,0.0,0.0,1.0
300000.0,15.564641535,2.0046388896303066E-6,300000.0,82.93066666666667,74.39464770708989,74.41403810313729,74.33363072265605,300000.0,938456.0,116.0,52.0,52.0,8.0,0.0,0.0,1.0
310000.0,16.112046409,2.141736000845008E-6,310000.0,82.96322580645162,74.44346301325858,74.45415058381946,74.38774817415594,310000.0,968104.0,124.0,56.0,56.0,8.0,0.0,0.0,1.0
320000.0,16.637654307,2.2794048462898968E-6,320000.0,83.004375,74.50564567733286,74.51691500327992,74.4450709519782,320000.0,1012456.0,128.0,58.0,58.0,8.0,0.0,0.0,1.0
330000.0,17.165533463,2.4202676482465636E-6,330000.0,83.02727272727273,74.5398416001231,74.55779346433731,74.47872999671928,330000.0,1031488.0,128.0,58.0,58.0,8.0,0.0,0.0,1.0
