learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.928904994,2.9326400742290748E-8,100000.0,97.89999999999999,95.56430490545632,95.74898785425101,94.64285714285714,100000.0,38704.0,246.0,98.0,98.0,3.0,0.0,0.0,1.0
200000.0,4.280698066,4.471363345983128E-8,200000.0,97.1,93.96582576634013,94.3359375,92.76807980049875,200000.0,44000.0,415.0,146.0,146.0,5.0,0.0,0.0,1.0
300000.0,5.669534345,5.122114716434645E-8,300000.0,97.6,94.89752529977038,94.90445859872611,93.51351351351352,300000.0,18112.0,622.0,213.0,213.0,2.0,0.0,0.0,1.0
400000.0,6.979474086,6.439418178909977E-8,400000.0,98.0,95.7815340873138,95.79831932773108,94.72295514511873,400000.0,38872.0,806.0,261.0,261.0,3.0,0.0,0.0,1.0
500000.0,8.249900411,7.709624115423612E-8,500000.0,96.3,92.14510746342167,92.3076923076923,90.41450777202071,500000.0,38648.0,981.0,310.0,310.0,5.0,0.0,0.0,1.0
600000.0,9.619483836,9.037586284252299E-8,600000.0,96.8,93.18200219028179,93.22033898305084,91.64490861618798,600000.0,37480.0,1217.0,398.0,398.0,4.0,0.0,0.0,1.0
700000.0,10.94635921,9.448678781428479E-8,700000.0,97.3,94.23869717738837,94.3157894736842,92.95039164490862,700000.0,11976.0,1380.0,430.0,430.0,1.0,0.0,0.0,1.0
800000.0,12.201897317,1.0232636833365594E-7,800000.0,97.8,95.30698704301786,95.48254620123203,94.07008086253369,800000.0,24136.0,1611.0,516.0,516.0,2.0,0.0,0.0,1.0
900000.0,13.504802904,1.1450376620502936E-7,900000.0,96.5,92.36308095134191,91.84149184149184,90.30470914127423,900000.0,36128.0,1804.0,572.0,572.0,4.0,0.0,0.0,1.0
1000000.0,14.80392161,1.3110895202224454E-7,1000000.0,96.6,92.69931931888942,92.59259259259258,90.88471849865951,1000000.0,49408.0,1955.0,589.0,589.0,5.0,0.0,0.0,1.0
1100000.0,16.042333073,1.3460491600699723E-7,1100000.0,98.8,97.49582637729549,97.47368421052632,96.96969696969697,1100000.0,10912.0,2079.0,592.0,592.0,1.0,0.0,0.0,1.0
1200000.0,17.225067438,1.4163008423785783E-7,1200000.0,97.6,94.9416604842517,95.0207468879668,93.78238341968913,1200000.0,22960.0,2222.0,611.0,611.0,2.0,0.0,0.0,1.0
1300000.0,18.493601244,1.4567052069990998E-7,1300000.0,98.4,96.64664433890688,96.78068410462777,95.96977329974811,1300000.0,12312.0,2419.0,666.0,666.0,1.0,0.0,0.0,1.0
1400000.0,19.766801166,1.5825275000031208E-7,1400000.0,94.5,88.58182059756523,88.68312757201645,85.93350383631713,1400000.0,38200.0,2558.0,681.0,681.0,3.0,0.0,0.0,1.0
1500000.0,21.059555421,1.6180847833999535E-7,1500000.0,81.0,63.201115587232735,62.4505928853755,52.26130653266333,1500000.0,10632.0,2715.0,709.0,709.0,1.0,0.0,0.0,1.0
1600000.0,22.335143786,1.7139155121127555E-7,1600000.0,98.5,96.85460737112278,96.98795180722891,96.17346938775509,1600000.0,29040.0,2889.0,749.0,749.0,3.0,0.0,0.0,1.0
1700000.0,23.663621132,1.843990776502196E-7,1700000.0,96.5,92.52149535905369,92.85714285714285,90.69148936170211,1700000.0,37848.0,3098.0,833.0,833.0,4.0,0.0,0.0,1.0
1800000.0,24.998310525,2.0120755634256947E-7,1800000.0,98.7,97.26904525822228,97.2457627118644,96.68367346938776,1800000.0,48680.0,3290.0,898.0,898.0,4.0,0.0,0.0,1.0
1900000.0,26.390254278,2.0797161546738194E-7,1900000.0,95.5,90.23021945098174,90.17467248908297,87.25212464589234,1900000.0,18784.0,3459.0,922.0,922.0,2.0,0.0,0.0,1.0
2000000.0,27.744776566,2.16115280625965E-7,2000000.0,98.0,95.75596816976127,95.78947368421052,94.66666666666667,2000000.0,23240.0,3653.0,980.0,980.0,3.0,0.0,0.0,1.0
