learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.569035435,1.4956668661010142E-7,100000.0,92.7,82.14495362579738,82.32445520581115,74.74048442906577,100000.0,368472.0,185.0,93.0,93.0,10.0,0.0,0.0,1.0
200000.0,2.31020529,2.687744738578279E-7,200000.0,79.3,46.20022871400356,48.37905236907732,27.368421052631604,200000.0,621712.0,317.0,159.0,159.0,11.0,0.0,0.0,1.0
300000.0,2.919541188,3.993560486418112E-7,300000.0,87.0,67.50324967503249,68.44660194174757,55.172413793103445,300000.0,828376.0,417.0,209.0,209.0,11.0,0.0,0.0,1.0
400000.0,3.51218108,5.628599782894325E-7,400000.0,78.10000000000001,42.792957525730124,45.79207920792081,24.482758620689673,400000.0,1066448.0,535.0,268.0,268.0,11.0,0.0,0.0,1.0
500000.0,4.061674248,7.367885775019994E-7,500000.0,69.5,29.55599490031595,25.06142506142505,-0.3289473684210529,500000.0,1223520.0,615.0,308.0,308.0,11.0,0.0,0.0,1.0
600000.0,4.620076677,9.414524629773531E-7,600000.0,73.8,28.307566014502676,34.5,4.727272727272731,600000.0,1416760.0,711.0,356.0,356.0,12.0,0.0,0.0,1.0
700000.0,5.214748709,1.1857918388064537E-6,700000.0,77.10000000000001,41.369846179054946,44.417475728155345,26.60256410256412,700000.0,1588248.0,801.0,401.0,401.0,13.0,0.0,0.0,1.0
800000.0,5.760645589,1.430106949173328E-6,800000.0,79.4,41.73680876097385,51.643192488262926,29.45205479452057,800000.0,1729984.0,871.0,436.0,436.0,13.0,0.0,0.0,1.0
900000.0,6.345242988,1.7223440528869194E-6,900000.0,84.3,56.79216204315279,60.45340050377833,43.11594202898551,900000.0,1932328.0,975.0,488.0,488.0,13.0,0.0,0.0,1.0
1000000.0,7.04863023,2.117503117867143E-6,1000000.0,83.7,56.297924821706246,60.24390243902439,41.99288256227757,1000000.0,2171600.0,1091.0,546.0,546.0,13.0,3849.260073260073,0.0,1.033260757026706
1100000.0,7.61968446,2.4620404638453882E-6,1100000.0,76.6,37.173786970809964,42.079207920792086,18.181818181818198,1100000.0,2332176.0,1171.0,586.0,586.0,13.0,3849.260073260073,0.0,1.033260757026706
1200000.0,8.220493753,2.857182789662532E-6,1200000.0,78.0,40.796555435952634,47.9905437352246,23.076923076923094,1200000.0,2542256.0,1283.0,642.0,642.0,13.0,3849.260073260073,0.0,1.033260757026706
1300000.0,8.810346258,3.2722614423542073E-6,1300000.0,80.4,48.06020775916897,50.000000000000014,32.4137931034483,1300000.0,2720128.0,1373.0,687.0,687.0,13.0,3849.260073260073,0.0,1.033260757026706
1400000.0,9.415683562,3.731473770831212E-6,1400000.0,74.8,36.009750895101675,43.243243243243235,19.999999999999986,1400000.0,2932368.0,1477.0,739.0,739.0,14.0,3849.260073260073,0.0,1.033260757026706
1500000.0,10.054936582,4.258958520653903E-6,1500000.0,73.1,24.425464966005535,33.90663390663391,7.241379310344834,1500000.0,3189624.0,1605.0,803.0,803.0,14.0,3849.260073260073,0.0,1.033260757026706
1600000.0,10.681343647,4.810855625154696E-6,1600000.0,81.39999999999999,48.44560734400637,51.937984496124024,32.11678832116787,1600000.0,3405680.0,1717.0,859.0,859.0,15.0,3849.260073260073,0.0,1.033260757026706
1700000.0,11.299391907,5.384536689339617E-6,1700000.0,80.5,44.385502583935136,52.439024390243915,31.818181818181845,1700000.0,3587984.0,1807.0,904.0,904.0,15.0,3849.260073260073,0.0,1.033260757026706
1800000.0,11.911125544,5.974635068597094E-6,1800000.0,80.5,48.47594487190329,51.37157107231922,32.52595155709345,1800000.0,3728760.0,1889.0,945.0,945.0,15.0,3849.260073260073,0.0,1.033260757026706
1900000.0,12.538712306,6.610559427419264E-6,1900000.0,78.10000000000001,37.535653166001154,47.10144927536233,20.36363636363638,1900000.0,3916824.0,1967.0,984.0,984.0,15.0,3849.260073260073,0.0,1.033260757026706
2000000.0,13.282835699,7.394738049593546E-6,2000000.0,74.1,23.25834972858938,31.48148148148148,-1.171875000000001,2000000.0,4073544.0,2053.0,1027.0,1027.0,15.0,3838.434274586173,0.0,1.0333509890230315
